# Logfile created on 2026-09-07 16:07:05 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:05 +0200: Memory Usage (457372K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:05 +0200: Memory Usage (457372K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:05 +0200: Memory Usage (458304K) : Loading database to memory is complete.
2026-09-07 16:07:05 +0200: Memory Usage (458304K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_activ.lyrdb
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : Evaluate switches.
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : tables selected: activ
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : deep mode is enabled.
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : FEOL enabled: false
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : BEOL enabled: false
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : OFFGRID enabled: true
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : ANGLE enabled: true
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : PIN enabled: false
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : FORBIDDEN enabled: false
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : RECOMMENDED enabled: true
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : PreCheck DRC enabled: false
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:05 +0200: Memory Usage (458496K) : Read in polygons from layers.
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : activ_drw has 643 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : activ_pin has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : activ_mask has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : activ_filler has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : activ_nofill has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : activ_opc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : activ_iopc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : activ_noqrc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : biwind_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : biwind_opc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : pemwind_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459568K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459728K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459728K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459728K) : cont_drw has 1631 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459728K) : cont_opc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459728K) : nsd_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459728K) : nsd_block has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459728K) : metal1_drw has 1169 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459888K) : metal1_pin has 182 polygons
2026-09-07 16:07:05 +0200: Memory Usage (459888K) : metal1_mask has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460048K) : metal1_filler has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460048K) : metal1_nofill has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460048K) : metal1_slit has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460380K) : metal1_text has 13 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460380K) : metal1_opc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460380K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460540K) : metal1_res has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460540K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : passiv_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : passiv_pin has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : passiv_sbump has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : passiv_pillar has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : passiv_pdl has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : metal2_drw has 121 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : metal2_pin has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : metal2_mask has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460700K) : metal2_filler has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460860K) : metal2_nofill has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460860K) : metal2_slit has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460860K) : metal2_text has 11 polygons
2026-09-07 16:07:05 +0200: Memory Usage (460860K) : metal2_opc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461020K) : metal2_noqrc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461020K) : metal2_res has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461020K) : metal2_iprobe has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461180K) : metal2_diffprb has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461180K) : baspoly_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461180K) : baspoly_pin has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461340K) : psd_drw has 94 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461340K) : nldb_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461340K) : digibnd_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461500K) : via1_drw has 192 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461500K) : backmetal1_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461660K) : backmetal1_pin has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461660K) : backmetal1_mask has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461660K) : backmetal1_filler has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461820K) : backmetal1_nofill has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461820K) : backmetal1_slit has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461820K) : backmetal1_text has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (461980K) : backmetal1_opc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462140K) : backmetal1_noqrc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462140K) : backmetal1_res has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462140K) : backmetal1_iprobe has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462300K) : backmetal1_diffprb has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462300K) : backpassiv_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462300K) : res_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462460K) : sram_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462460K) : trans_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462460K) : ind_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462460K) : ind_pin has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462460K) : ind_text has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462620K) : salblock_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462620K) : via2_drw has 109 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462620K) : metal3_drw has 14 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462620K) : metal3_pin has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462780K) : metal3_mask has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462780K) : metal3_filler has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462780K) : metal3_nofill has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462780K) : metal3_slit has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462940K) : metal3_text has 1 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462940K) : metal3_opc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462940K) : metal3_noqrc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (462940K) : metal3_res has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463100K) : metal3_iprobe has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463100K) : metal3_diffprb has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463100K) : nwell_drw has 27 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463260K) : nwell_pin has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463260K) : nbulay_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463260K) : nbulay_pin has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463420K) : nbulay_block has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463420K) : emwind_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463420K) : emwind_opc has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463580K) : deepco_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463580K) : deepco_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463580K) : mim_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463740K) : edgeseal_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463740K) : edgeseal_bound has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463740K) : substrate_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463900K) : substrate_text has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463900K) : dfpad_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (463900K) : dfpad_pillar has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (464060K) : dfpad_sbump has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (464060K) : thickgateox_drw has 0 polygons
2026-09-07 16:07:05 +0200: Memory Usage (464060K) : pldb_drw has 0 polygons
