# Logfile created on 2026-09-07 16:06:58 +0200 by logger.rb/v1.5.3
2026-09-07 16:06:58 +0200: Memory Usage (456088K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:06:58 +0200: Memory Usage (456088K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:06:58 +0200: Memory Usage (457020K) : Loading database to memory is complete.
2026-09-07 16:06:58 +0200: Memory Usage (457020K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_activfiller.lyrdb
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : Evaluate switches.
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : tables selected: activfiller
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : deep mode is enabled.
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : FEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : BEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : OFFGRID enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : ANGLE enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : PIN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : FORBIDDEN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : RECOMMENDED enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : PreCheck DRC enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:06:58 +0200: Memory Usage (457212K) : Read in polygons from layers.
2026-09-07 16:06:58 +0200: Memory Usage (458152K) : activ_drw has 643 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458152K) : activ_pin has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458152K) : activ_mask has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458152K) : activ_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458152K) : activ_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458152K) : activ_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458152K) : activ_iopc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458312K) : activ_noqrc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458312K) : biwind_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458312K) : biwind_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458312K) : pemwind_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458312K) : gatpoly_drw has 513 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458312K) : gatpoly_pin has 91 polygons
