# Logfile created on 2026-09-07 16:06:58 +0200 by logger.rb/v1.5.3
2026-09-07 16:06:58 +0200: Memory Usage (457176K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:06:58 +0200: Memory Usage (457176K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : Loading database to memory is complete.
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_cont.lyrdb
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : Evaluate switches.
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : tables selected: cont
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : deep mode is enabled.
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : FEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : BEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : OFFGRID enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : ANGLE enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : PIN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : FORBIDDEN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : RECOMMENDED enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : PreCheck DRC enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:06:58 +0200: Memory Usage (458488K) : Read in polygons from layers.
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : activ_drw has 643 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : activ_pin has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : activ_mask has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : activ_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : activ_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : activ_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : activ_iopc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : activ_noqrc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : biwind_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : biwind_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : pemwind_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : gatpoly_drw has 513 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : gatpoly_pin has 91 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : gatpoly_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : gatpoly_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459440K) : gatpoly_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459600K) : gatpoly_iopc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459600K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459600K) : cont_drw has 1631 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459600K) : cont_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459600K) : nsd_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459760K) : nsd_block has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459760K) : metal1_drw has 1169 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459760K) : metal1_pin has 182 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459920K) : metal1_mask has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459920K) : metal1_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459920K) : metal1_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460080K) : metal1_slit has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460300K) : metal1_text has 13 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460300K) : metal1_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460460K) : metal1_noqrc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460460K) : metal1_res has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : metal1_iprobe has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : metal1_diffprb has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : passiv_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : passiv_pin has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : passiv_sbump has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : passiv_pillar has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : passiv_pdl has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : metal2_drw has 121 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : metal2_pin has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : metal2_mask has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460620K) : metal2_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460940K) : metal2_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460940K) : metal2_slit has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460940K) : metal2_text has 11 polygons
2026-09-07 16:06:58 +0200: Memory Usage (460940K) : metal2_opc has 0 polygons
