# Logfile created on 2026-09-07 16:07:15 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:15 +0200: Memory Usage (457552K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:15 +0200: Memory Usage (457552K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : Loading database to memory is complete.
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_copperpillar.lyrdb
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : Evaluate switches.
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : tables selected: copperpillar
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : deep mode is enabled.
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : FEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : BEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : OFFGRID enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : ANGLE enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : PIN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : FORBIDDEN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : RECOMMENDED enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : PreCheck DRC enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : Read in polygons from layers.
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : activ_drw has 643 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : activ_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : activ_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : activ_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : activ_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : activ_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : activ_iopc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : activ_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : biwind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : biwind_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : pemwind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459664K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459824K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459824K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459824K) : cont_drw has 1631 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459824K) : cont_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459824K) : nsd_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459984K) : nsd_block has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459984K) : metal1_drw has 1169 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459984K) : metal1_pin has 182 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460144K) : metal1_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460144K) : metal1_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460304K) : metal1_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460304K) : metal1_slit has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460652K) : metal1_text has 13 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460812K) : metal1_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460812K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460812K) : metal1_res has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460972K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460972K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461132K) : passiv_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461132K) : passiv_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461132K) : passiv_sbump has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461132K) : passiv_pillar has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461132K) : passiv_pdl has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461132K) : metal2_drw has 121 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461132K) : metal2_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461132K) : metal2_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461132K) : metal2_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461292K) : metal2_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461292K) : metal2_slit has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461292K) : metal2_text has 11 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461292K) : metal2_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461292K) : metal2_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461292K) : metal2_res has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461452K) : metal2_iprobe has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461452K) : metal2_diffprb has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461452K) : baspoly_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461612K) : baspoly_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461612K) : psd_drw has 94 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461612K) : nldb_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461772K) : digibnd_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461772K) : via1_drw has 192 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461772K) : backmetal1_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461932K) : backmetal1_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462092K) : backmetal1_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462092K) : backmetal1_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462092K) : backmetal1_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462252K) : backmetal1_slit has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462252K) : backmetal1_text has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462252K) : backmetal1_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462412K) : backmetal1_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462412K) : backmetal1_res has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462572K) : backmetal1_iprobe has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462572K) : backmetal1_diffprb has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462572K) : backpassiv_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462732K) : res_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462732K) : sram_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462732K) : trans_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462732K) : ind_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462892K) : ind_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462892K) : ind_text has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462892K) : salblock_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462892K) : via2_drw has 109 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463052K) : metal3_drw has 14 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463052K) : metal3_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463052K) : metal3_mask has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463052K) : metal3_filler has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463212K) : metal3_nofill has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463212K) : metal3_slit has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463212K) : metal3_text has 1 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463212K) : metal3_opc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463372K) : metal3_noqrc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463372K) : metal3_res has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463372K) : metal3_iprobe has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463372K) : metal3_diffprb has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463532K) : nwell_drw has 27 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463532K) : nwell_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463532K) : nbulay_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463692K) : nbulay_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463692K) : nbulay_block has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463692K) : emwind_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463852K) : emwind_opc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463852K) : deepco_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463852K) : deepco_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464012K) : mim_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464012K) : edgeseal_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464012K) : edgeseal_bound has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464172K) : substrate_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464172K) : substrate_text has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464172K) : dfpad_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464332K) : dfpad_pillar has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464332K) : dfpad_sbump has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464332K) : thickgateox_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464492K) : pldb_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464492K) : pwell_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464492K) : pwell_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464652K) : pwell_block has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464652K) : ic_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464652K) : via3_drw has 108 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464652K) : metal4_drw has 14 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464812K) : metal4_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464812K) : metal4_mask has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464812K) : metal4_filler has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464972K) : metal4_nofill has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464972K) : metal4_slit has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464972K) : metal4_text has 2 polygons
2026-09-07 16:07:16 +0200: Memory Usage (464972K) : metal4_opc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (465132K) : metal4_noqrc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (465132K) : metal4_res has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (465132K) : metal4_iprobe has 0 polygons
