# Logfile created on 2026-09-07 16:07:22 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:22 +0200: Memory Usage (456716K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:22 +0200: Memory Usage (456716K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:22 +0200: Memory Usage (457852K) : Loading database to memory is complete.
2026-09-07 16:07:22 +0200: Memory Usage (457852K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_forbidden.lyrdb
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : Evaluate switches.
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : tables selected: forbidden
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : deep mode is enabled.
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : FEOL enabled: false
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : BEOL enabled: false
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : OFFGRID enabled: true
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : ANGLE enabled: true
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : PIN enabled: false
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : FORBIDDEN enabled: false
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : RECOMMENDED enabled: true
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : PreCheck DRC enabled: false
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:22 +0200: Memory Usage (458044K) : Read in polygons from layers.
2026-09-07 16:07:22 +0200: Memory Usage (458956K) : activ_drw has 643 polygons
2026-09-07 16:07:22 +0200: Memory Usage (458956K) : activ_pin has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (458956K) : activ_mask has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (458956K) : activ_filler has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (458956K) : activ_nofill has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (458956K) : activ_opc has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (458956K) : activ_iopc has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459116K) : activ_noqrc has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459116K) : biwind_drw has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459116K) : biwind_opc has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459116K) : pemwind_drw has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459116K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459116K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459116K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459116K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459116K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459276K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459276K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459276K) : cont_drw has 1631 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459276K) : cont_opc has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459276K) : nsd_drw has 0 polygons
2026-09-07 16:07:22 +0200: Memory Usage (459276K) : nsd_block has 0 polygons
