# Logfile created on 2026-09-07 16:07:15 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:15 +0200: Memory Usage (456920K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:15 +0200: Memory Usage (456920K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:15 +0200: Memory Usage (458232K) : Loading database to memory is complete.
2026-09-07 16:07:15 +0200: Memory Usage (458232K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_lbe.lyrdb
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : Evaluate switches.
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : tables selected: lbe
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : deep mode is enabled.
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : FEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : BEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : OFFGRID enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : ANGLE enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : PIN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : FORBIDDEN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : RECOMMENDED enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : PreCheck DRC enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:15 +0200: Memory Usage (458424K) : Read in polygons from layers.
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : activ_drw has 643 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : activ_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : activ_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : activ_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : activ_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : activ_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : activ_iopc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : activ_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : biwind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : biwind_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : pemwind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459200K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459360K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459360K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459552K) : cont_drw has 1631 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459552K) : cont_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459552K) : nsd_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459712K) : nsd_block has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459712K) : metal1_drw has 1169 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459712K) : metal1_pin has 182 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459872K) : metal1_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459872K) : metal1_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460032K) : metal1_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460032K) : metal1_slit has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460252K) : metal1_text has 13 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460412K) : metal1_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460412K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460412K) : metal1_res has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460572K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460572K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460732K) : passiv_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460732K) : passiv_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460732K) : passiv_sbump has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460732K) : passiv_pillar has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460732K) : passiv_pdl has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460732K) : metal2_drw has 121 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460732K) : metal2_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460732K) : metal2_mask has 0 polygons
