# Logfile created on 2026-09-07 16:07:15 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:15 +0200: Memory Usage (456320K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:15 +0200: Memory Usage (456320K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : Loading database to memory is complete.
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_metaln.lyrdb
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : Evaluate switches.
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : tables selected: metaln
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : deep mode is enabled.
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : FEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : BEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : OFFGRID enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : ANGLE enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : PIN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : FORBIDDEN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : RECOMMENDED enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : PreCheck DRC enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:15 +0200: Memory Usage (457452K) : Read in polygons from layers.
2026-09-07 16:07:15 +0200: Memory Usage (458552K) : activ_drw has 643 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458552K) : activ_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458552K) : activ_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458552K) : activ_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458552K) : activ_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458552K) : activ_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458552K) : activ_iopc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : activ_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : biwind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : biwind_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : pemwind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458712K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458872K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458872K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458872K) : cont_drw has 1631 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458872K) : cont_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458872K) : nsd_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (458872K) : nsd_block has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (458872K) : metal1_drw has 1169 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459032K) : metal1_pin has 182 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459032K) : metal1_mask has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459192K) : metal1_filler has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459192K) : metal1_nofill has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459192K) : metal1_slit has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459544K) : metal1_text has 13 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459544K) : metal1_opc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459544K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459704K) : metal1_res has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459704K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : passiv_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : passiv_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : passiv_sbump has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : passiv_pillar has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : passiv_pdl has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : metal2_drw has 121 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : metal2_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : metal2_mask has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (459864K) : metal2_filler has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460024K) : metal2_nofill has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460024K) : metal2_slit has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460024K) : metal2_text has 11 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460024K) : metal2_opc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460024K) : metal2_noqrc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460184K) : metal2_res has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460184K) : metal2_iprobe has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460184K) : metal2_diffprb has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460344K) : baspoly_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460344K) : baspoly_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460504K) : psd_drw has 94 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460504K) : nldb_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460504K) : digibnd_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460664K) : via1_drw has 192 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460664K) : backmetal1_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460824K) : backmetal1_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460824K) : backmetal1_mask has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460824K) : backmetal1_filler has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460984K) : backmetal1_nofill has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460984K) : backmetal1_slit has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (460984K) : backmetal1_text has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461144K) : backmetal1_opc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461144K) : backmetal1_noqrc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461304K) : backmetal1_res has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461304K) : backmetal1_iprobe has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461464K) : backmetal1_diffprb has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461464K) : backpassiv_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461464K) : res_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461624K) : sram_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461624K) : trans_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461624K) : ind_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461624K) : ind_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461624K) : ind_text has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461784K) : salblock_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461784K) : via2_drw has 109 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461784K) : metal3_drw has 14 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461784K) : metal3_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461944K) : metal3_mask has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461944K) : metal3_filler has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461944K) : metal3_nofill has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (461944K) : metal3_slit has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462104K) : metal3_text has 1 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462104K) : metal3_opc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462104K) : metal3_noqrc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462104K) : metal3_res has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462264K) : metal3_iprobe has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462264K) : metal3_diffprb has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462264K) : nwell_drw has 27 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462424K) : nwell_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462424K) : nbulay_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462424K) : nbulay_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462584K) : nbulay_block has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462584K) : emwind_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462584K) : emwind_opc has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462744K) : deepco_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462744K) : deepco_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462744K) : mim_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462904K) : edgeseal_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462904K) : edgeseal_bound has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (462904K) : substrate_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463064K) : substrate_text has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463064K) : dfpad_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463064K) : dfpad_pillar has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463224K) : dfpad_sbump has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463224K) : thickgateox_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463224K) : pldb_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463384K) : pwell_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463384K) : pwell_pin has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463384K) : pwell_block has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463544K) : ic_drw has 0 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463544K) : via3_drw has 108 polygons
2026-09-07 16:07:16 +0200: Memory Usage (463544K) : metal4_drw has 14 polygons
