# Logfile created on 2026-09-07 16:07:20 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:20 +0200: Memory Usage (456600K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:20 +0200: Memory Usage (456600K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : Loading database to memory is complete.
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_metalnfiller.lyrdb
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : Evaluate switches.
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : tables selected: metalnfiller
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : deep mode is enabled.
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : FEOL enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : BEOL enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : OFFGRID enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : ANGLE enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : PIN enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : FORBIDDEN enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : RECOMMENDED enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : PreCheck DRC enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:20 +0200: Memory Usage (457732K) : Read in polygons from layers.
2026-09-07 16:07:20 +0200: Memory Usage (458768K) : activ_drw has 643 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458768K) : activ_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458768K) : activ_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458768K) : activ_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458768K) : activ_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458768K) : activ_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458768K) : activ_iopc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458928K) : activ_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458928K) : biwind_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458928K) : biwind_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458928K) : pemwind_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458928K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458928K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458928K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458928K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (458928K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459088K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459088K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459088K) : cont_drw has 1631 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459088K) : cont_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459088K) : nsd_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459088K) : nsd_block has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459088K) : metal1_drw has 1169 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459248K) : metal1_pin has 182 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459248K) : metal1_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459408K) : metal1_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459408K) : metal1_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459408K) : metal1_slit has 0 polygons
