# Logfile created on 2026-09-07 16:07:20 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:20 +0200: Memory Usage (457368K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:20 +0200: Memory Usage (457368K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : Loading database to memory is complete.
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_metalslits.lyrdb
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : Evaluate switches.
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : tables selected: metalslits
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : deep mode is enabled.
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : FEOL enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : BEOL enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : OFFGRID enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : ANGLE enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : PIN enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : FORBIDDEN enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : RECOMMENDED enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : PreCheck DRC enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:20 +0200: Memory Usage (458492K) : Read in polygons from layers.
2026-09-07 16:07:20 +0200: Memory Usage (459564K) : activ_drw has 643 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459564K) : activ_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459564K) : activ_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459564K) : activ_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459564K) : activ_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459564K) : activ_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459564K) : activ_iopc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459724K) : activ_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459724K) : biwind_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459724K) : biwind_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459724K) : pemwind_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459724K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459724K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459724K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459724K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459724K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459884K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459884K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459884K) : cont_drw has 1631 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459884K) : cont_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459884K) : nsd_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459884K) : nsd_block has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459884K) : metal1_drw has 1169 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460044K) : metal1_pin has 182 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460044K) : metal1_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460204K) : metal1_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460204K) : metal1_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460204K) : metal1_slit has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460536K) : metal1_text has 13 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460536K) : metal1_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460536K) : metal1_noqrc has 0 polygons
