# Logfile created on 2026-09-07 16:07:20 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:20 +0200: Memory Usage (457004K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:20 +0200: Memory Usage (457004K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : Loading database to memory is complete.
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_mim.lyrdb
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : Evaluate switches.
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : tables selected: mim
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : deep mode is enabled.
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : FEOL enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : BEOL enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : OFFGRID enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : ANGLE enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : PIN enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : FORBIDDEN enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : RECOMMENDED enabled: true
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : PreCheck DRC enabled: false
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:20 +0200: Memory Usage (458316K) : Read in polygons from layers.
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : activ_drw has 643 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : activ_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : activ_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : activ_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : activ_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : activ_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : activ_iopc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : activ_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : biwind_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : biwind_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : pemwind_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459268K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459428K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459428K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459428K) : cont_drw has 1631 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459428K) : cont_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459428K) : nsd_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459428K) : nsd_block has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459588K) : metal1_drw has 1169 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459588K) : metal1_pin has 182 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459748K) : metal1_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459748K) : metal1_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459908K) : metal1_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (459908K) : metal1_slit has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460264K) : metal1_text has 13 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460424K) : metal1_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460424K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460424K) : metal1_res has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460584K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460584K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460744K) : passiv_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460744K) : passiv_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460744K) : passiv_sbump has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460744K) : passiv_pillar has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460744K) : passiv_pdl has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460744K) : metal2_drw has 121 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460744K) : metal2_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460744K) : metal2_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460744K) : metal2_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460904K) : metal2_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460904K) : metal2_slit has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460904K) : metal2_text has 11 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460904K) : metal2_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460904K) : metal2_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (460904K) : metal2_res has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461064K) : metal2_iprobe has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461064K) : metal2_diffprb has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461064K) : baspoly_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461224K) : baspoly_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461224K) : psd_drw has 94 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461224K) : nldb_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461384K) : digibnd_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461384K) : via1_drw has 192 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461544K) : backmetal1_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461544K) : backmetal1_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461704K) : backmetal1_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461704K) : backmetal1_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461704K) : backmetal1_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461864K) : backmetal1_slit has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461864K) : backmetal1_text has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (461864K) : backmetal1_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462024K) : backmetal1_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462024K) : backmetal1_res has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462024K) : backmetal1_iprobe has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462184K) : backmetal1_diffprb has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462184K) : backpassiv_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462184K) : res_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462344K) : sram_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462344K) : trans_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462344K) : ind_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462344K) : ind_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462504K) : ind_text has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462504K) : salblock_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462504K) : via2_drw has 109 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462504K) : metal3_drw has 14 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462664K) : metal3_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462664K) : metal3_mask has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462664K) : metal3_filler has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462664K) : metal3_nofill has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462664K) : metal3_slit has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462824K) : metal3_text has 1 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462824K) : metal3_opc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462824K) : metal3_noqrc has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462824K) : metal3_res has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462984K) : metal3_iprobe has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462984K) : metal3_diffprb has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (462984K) : nwell_drw has 27 polygons
2026-09-07 16:07:20 +0200: Memory Usage (463144K) : nwell_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (463144K) : nbulay_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (463144K) : nbulay_pin has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (463304K) : nbulay_block has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (463304K) : emwind_drw has 0 polygons
2026-09-07 16:07:20 +0200: Memory Usage (463304K) : emwind_opc has 0 polygons
