# Logfile created on 2026-09-07 16:06:58 +0200 by logger.rb/v1.5.3
2026-09-07 16:06:58 +0200: Memory Usage (457488K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:06:58 +0200: Memory Usage (457488K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:06:58 +0200: Memory Usage (458624K) : Loading database to memory is complete.
2026-09-07 16:06:58 +0200: Memory Usage (458624K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_nbulay.lyrdb
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : Evaluate switches.
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : tables selected: nbulay
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : deep mode is enabled.
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : FEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : BEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : OFFGRID enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : ANGLE enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : PIN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : FORBIDDEN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : RECOMMENDED enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : PreCheck DRC enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : CONNECTIVITY_RULES enabled: true.
2026-09-07 16:06:58 +0200: Memory Usage (458816K) : Read in polygons from layers.
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : activ_drw has 643 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : activ_pin has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : activ_mask has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : activ_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : activ_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : activ_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : activ_iopc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : activ_noqrc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : biwind_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : biwind_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : pemwind_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : gatpoly_drw has 513 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : gatpoly_pin has 91 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : gatpoly_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : gatpoly_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459728K) : gatpoly_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459888K) : gatpoly_iopc has 0 polygons
