# Logfile created on 2026-09-07 16:06:58 +0200 by logger.rb/v1.5.3
2026-09-07 16:06:58 +0200: Memory Usage (456604K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:06:58 +0200: Memory Usage (456604K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : Loading database to memory is complete.
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_npnsubstratetie.lyrdb
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : Evaluate switches.
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : tables selected: npnsubstratetie
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : deep mode is enabled.
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : FEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : BEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : OFFGRID enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : ANGLE enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : PIN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : FORBIDDEN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : RECOMMENDED enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : PreCheck DRC enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:06:58 +0200: Memory Usage (457736K) : Read in polygons from layers.
2026-09-07 16:06:58 +0200: Memory Usage (458836K) : activ_drw has 643 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458836K) : activ_pin has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458836K) : activ_mask has 0 polygons
