# Logfile created on 2026-09-07 16:06:58 +0200 by logger.rb/v1.5.3
2026-09-07 16:06:58 +0200: Memory Usage (456904K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:06:58 +0200: Memory Usage (456904K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : Loading database to memory is complete.
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_nwell.lyrdb
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : Evaluate switches.
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : tables selected: nwell
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : deep mode is enabled.
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : FEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : BEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : OFFGRID enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : ANGLE enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : PIN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : FORBIDDEN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : RECOMMENDED enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : PreCheck DRC enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : CONNECTIVITY_RULES enabled: true.
2026-09-07 16:06:58 +0200: Memory Usage (457872K) : Read in polygons from layers.
2026-09-07 16:06:58 +0200: Memory Usage (458772K) : activ_drw has 643 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458772K) : activ_pin has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458772K) : activ_mask has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458772K) : activ_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458772K) : activ_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458772K) : activ_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458772K) : activ_iopc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (458772K) : activ_noqrc has 0 polygons
