# Logfile created on 2026-09-07 16:07:09 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:09 +0200: Memory Usage (456992K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:09 +0200: Memory Usage (456992K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : Loading database to memory is complete.
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_pad.lyrdb
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : Evaluate switches.
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : tables selected: pad
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : deep mode is enabled.
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : FEOL enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : BEOL enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : OFFGRID enabled: true
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : ANGLE enabled: true
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : PIN enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : FORBIDDEN enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : RECOMMENDED enabled: true
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : PreCheck DRC enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:09 +0200: Memory Usage (458116K) : Read in polygons from layers.
2026-09-07 16:07:09 +0200: Memory Usage (459056K) : activ_drw has 643 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459056K) : activ_pin has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459056K) : activ_mask has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459056K) : activ_filler has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459056K) : activ_nofill has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459056K) : activ_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459056K) : activ_iopc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459056K) : activ_noqrc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : biwind_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : biwind_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : pemwind_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459216K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459216K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459216K) : cont_drw has 1631 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459216K) : cont_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459216K) : nsd_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459376K) : nsd_block has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459376K) : metal1_drw has 1169 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459376K) : metal1_pin has 182 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459536K) : metal1_mask has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459536K) : metal1_filler has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459696K) : metal1_nofill has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459696K) : metal1_slit has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460108K) : metal1_text has 13 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460268K) : metal1_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460268K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460268K) : metal1_res has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460428K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460428K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460588K) : passiv_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460588K) : passiv_pin has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460588K) : passiv_sbump has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460588K) : passiv_pillar has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460588K) : passiv_pdl has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460588K) : metal2_drw has 121 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460588K) : metal2_pin has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460588K) : metal2_mask has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460588K) : metal2_filler has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460748K) : metal2_nofill has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460748K) : metal2_slit has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460748K) : metal2_text has 11 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460748K) : metal2_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460748K) : metal2_noqrc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460748K) : metal2_res has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460908K) : metal2_iprobe has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460908K) : metal2_diffprb has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (460908K) : baspoly_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (461068K) : baspoly_pin has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (461068K) : psd_drw has 94 polygons
2026-09-07 16:07:10 +0200: Memory Usage (461068K) : nldb_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (461228K) : digibnd_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (461228K) : via1_drw has 192 polygons
2026-09-07 16:07:10 +0200: Memory Usage (461388K) : backmetal1_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (461388K) : backmetal1_pin has 0 polygons
