# Logfile created on 2026-09-07 16:06:58 +0200 by logger.rb/v1.5.3
2026-09-07 16:06:58 +0200: Memory Usage (457224K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:06:58 +0200: Memory Usage (457224K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : Loading database to memory is complete.
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_psd.lyrdb
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : Evaluate switches.
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : tables selected: psd
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : deep mode is enabled.
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : FEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : BEOL enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : OFFGRID enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : ANGLE enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : PIN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : FORBIDDEN enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : RECOMMENDED enabled: true
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : PreCheck DRC enabled: false
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:06:58 +0200: Memory Usage (458576K) : Read in polygons from layers.
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : activ_drw has 643 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : activ_pin has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : activ_mask has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : activ_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : activ_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : activ_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : activ_iopc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : activ_noqrc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : biwind_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : biwind_opc has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : pemwind_drw has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : gatpoly_drw has 513 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : gatpoly_pin has 91 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : gatpoly_filler has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : gatpoly_nofill has 0 polygons
2026-09-07 16:06:58 +0200: Memory Usage (459480K) : gatpoly_opc has 0 polygons
