# Logfile created on 2026-09-07 16:07:10 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:10 +0200: Memory Usage (456820K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:10 +0200: Memory Usage (456820K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : Loading database to memory is complete.
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_sealring.lyrdb
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : Evaluate switches.
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : tables selected: sealring
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : deep mode is enabled.
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : FEOL enabled: false
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : BEOL enabled: false
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : OFFGRID enabled: true
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : ANGLE enabled: true
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : PIN enabled: false
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : FORBIDDEN enabled: false
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : RECOMMENDED enabled: true
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : PreCheck DRC enabled: false
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:10 +0200: Memory Usage (457984K) : Read in polygons from layers.
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : activ_drw has 643 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : activ_pin has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : activ_mask has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : activ_filler has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : activ_nofill has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : activ_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : activ_iopc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : activ_noqrc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : biwind_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : biwind_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : pemwind_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458896K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : cont_drw has 1631 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : cont_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459056K) : nsd_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459216K) : nsd_block has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459216K) : metal1_drw has 1169 polygons
