# Logfile created on 2026-09-07 16:07:09 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:09 +0200: Memory Usage (455588K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:09 +0200: Memory Usage (455588K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:09 +0200: Memory Usage (456556K) : Loading database to memory is complete.
2026-09-07 16:07:09 +0200: Memory Usage (456556K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_solderbump.lyrdb
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : Evaluate switches.
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : tables selected: solderbump
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : deep mode is enabled.
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : FEOL enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : BEOL enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : OFFGRID enabled: true
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : ANGLE enabled: true
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : PIN enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : FORBIDDEN enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : RECOMMENDED enabled: true
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : PreCheck DRC enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:09 +0200: Memory Usage (456748K) : Read in polygons from layers.
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : activ_drw has 643 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : activ_pin has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : activ_mask has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : activ_filler has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : activ_nofill has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : activ_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : activ_iopc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : activ_noqrc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : biwind_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : biwind_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457688K) : pemwind_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457688K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457688K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457688K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457688K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457688K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457688K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457688K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457688K) : cont_drw has 1631 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457688K) : cont_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457848K) : nsd_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457848K) : nsd_block has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (457848K) : metal1_drw has 1169 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458008K) : metal1_pin has 182 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458008K) : metal1_mask has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458008K) : metal1_filler has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458168K) : metal1_nofill has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458168K) : metal1_slit has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458388K) : metal1_text has 13 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458548K) : metal1_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458548K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458548K) : metal1_res has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458708K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : passiv_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : passiv_pin has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : passiv_sbump has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : passiv_pillar has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : passiv_pdl has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : metal2_drw has 121 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : metal2_pin has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : metal2_mask has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (458868K) : metal2_filler has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459028K) : metal2_nofill has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459028K) : metal2_slit has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459028K) : metal2_text has 11 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459028K) : metal2_opc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459028K) : metal2_noqrc has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459188K) : metal2_res has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459188K) : metal2_iprobe has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459188K) : metal2_diffprb has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459348K) : baspoly_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459348K) : baspoly_pin has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459348K) : psd_drw has 94 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459508K) : nldb_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459508K) : digibnd_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459508K) : via1_drw has 192 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459668K) : backmetal1_drw has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459668K) : backmetal1_pin has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459828K) : backmetal1_mask has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459828K) : backmetal1_filler has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459828K) : backmetal1_nofill has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459988K) : backmetal1_slit has 0 polygons
2026-09-07 16:07:10 +0200: Memory Usage (459988K) : backmetal1_text has 0 polygons
