# Logfile created on 2026-09-07 16:07:15 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:15 +0200: Memory Usage (456868K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:15 +0200: Memory Usage (456868K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:15 +0200: Memory Usage (458180K) : Loading database to memory is complete.
2026-09-07 16:07:15 +0200: Memory Usage (458180K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_topvia2.lyrdb
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : Evaluate switches.
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : tables selected: topvia2
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : deep mode is enabled.
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : FEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : BEOL enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : OFFGRID enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : ANGLE enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : PIN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : FORBIDDEN enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : RECOMMENDED enabled: true
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : PreCheck DRC enabled: false
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:15 +0200: Memory Usage (458372K) : Read in polygons from layers.
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : activ_drw has 643 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : activ_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : activ_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : activ_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : activ_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : activ_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : activ_iopc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : activ_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : biwind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : biwind_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : pemwind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : cont_drw has 1631 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : cont_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459148K) : nsd_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459308K) : nsd_block has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459308K) : metal1_drw has 1169 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459468K) : metal1_pin has 182 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459468K) : metal1_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459468K) : metal1_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459628K) : metal1_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459628K) : metal1_slit has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (459848K) : metal1_text has 13 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460008K) : metal1_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460008K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460008K) : metal1_res has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460168K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : passiv_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : passiv_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : passiv_sbump has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : passiv_pillar has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : passiv_pdl has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : metal2_drw has 121 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : metal2_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : metal2_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460328K) : metal2_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460488K) : metal2_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460488K) : metal2_slit has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460488K) : metal2_text has 11 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460488K) : metal2_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460488K) : metal2_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460488K) : metal2_res has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460648K) : metal2_iprobe has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460648K) : metal2_diffprb has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460808K) : baspoly_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460808K) : baspoly_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460808K) : psd_drw has 94 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460968K) : nldb_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460968K) : digibnd_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (460968K) : via1_drw has 192 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461128K) : backmetal1_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461128K) : backmetal1_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461288K) : backmetal1_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461288K) : backmetal1_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461288K) : backmetal1_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461448K) : backmetal1_slit has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461448K) : backmetal1_text has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461448K) : backmetal1_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461608K) : backmetal1_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461608K) : backmetal1_res has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461768K) : backmetal1_iprobe has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461768K) : backmetal1_diffprb has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461768K) : backpassiv_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461928K) : res_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461928K) : sram_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (461928K) : trans_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462088K) : ind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462088K) : ind_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462088K) : ind_text has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462088K) : salblock_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462248K) : via2_drw has 109 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462248K) : metal3_drw has 14 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462248K) : metal3_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462248K) : metal3_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462408K) : metal3_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462408K) : metal3_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462408K) : metal3_slit has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462408K) : metal3_text has 1 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462408K) : metal3_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462568K) : metal3_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462568K) : metal3_res has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462568K) : metal3_iprobe has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462568K) : metal3_diffprb has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462728K) : nwell_drw has 27 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462728K) : nwell_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462728K) : nbulay_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462888K) : nbulay_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462888K) : nbulay_block has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (462888K) : emwind_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463048K) : emwind_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463048K) : deepco_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463048K) : deepco_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463208K) : mim_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463208K) : edgeseal_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463368K) : edgeseal_bound has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463368K) : substrate_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463368K) : substrate_text has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463528K) : dfpad_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463528K) : dfpad_pillar has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463528K) : dfpad_sbump has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463688K) : thickgateox_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463688K) : pldb_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463688K) : pwell_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463848K) : pwell_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463848K) : pwell_block has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463848K) : ic_drw has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (463848K) : via3_drw has 108 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464008K) : metal4_drw has 14 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464008K) : metal4_pin has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464008K) : metal4_mask has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464008K) : metal4_filler has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464168K) : metal4_nofill has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464168K) : metal4_slit has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464168K) : metal4_text has 2 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464328K) : metal4_opc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464328K) : metal4_noqrc has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464328K) : metal4_res has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464488K) : metal4_iprobe has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464488K) : metal4_diffprb has 0 polygons
2026-09-07 16:07:15 +0200: Memory Usage (464488K) : heattrans_drw has 0 polygons
