# Logfile created on 2026-09-07 16:07:09 +0200 by logger.rb/v1.5.3
2026-09-07 16:07:09 +0200: Memory Usage (456112K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/analog/macro/tt_analog_ring.gds
2026-09-07 16:07:09 +0200: Memory Usage (456112K) : Ruby Version for klayout: 3.2.3
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : Loading database to memory is complete.
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : IHP-SG13G2 KLayout DRC runset output at: /work/analog/out/drc/tt_analog_ring_tt_analog_ring_via1.lyrdb
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : Evaluate switches.
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : tables selected: via1
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : KLayout will use 20 thread(s) in tiling mode.
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : deep mode is enabled.
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : FEOL enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : BEOL enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : OFFGRID enabled: true
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : ANGLE enabled: true
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : PIN enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : FORBIDDEN enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : RECOMMENDED enabled: true
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : PreCheck DRC enabled: false
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : CONNECTIVITY_RULES enabled: false.
2026-09-07 16:07:09 +0200: Memory Usage (457080K) : Read in polygons from layers.
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : activ_drw has 643 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : activ_pin has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : activ_mask has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : activ_filler has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : activ_nofill has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : activ_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : activ_iopc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : activ_noqrc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : biwind_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : biwind_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : pemwind_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : gatpoly_drw has 513 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : gatpoly_pin has 91 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : gatpoly_filler has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : gatpoly_nofill has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (457980K) : gatpoly_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458140K) : gatpoly_iopc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458140K) : gatpoly_noqrc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458140K) : cont_drw has 1631 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458140K) : cont_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458140K) : nsd_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458300K) : nsd_block has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458300K) : metal1_drw has 1169 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458300K) : metal1_pin has 182 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458460K) : metal1_mask has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458460K) : metal1_filler has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458620K) : metal1_nofill has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458620K) : metal1_slit has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458792K) : metal1_text has 13 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458952K) : metal1_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458952K) : metal1_noqrc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (458952K) : metal1_res has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459112K) : metal1_iprobe has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459112K) : metal1_diffprb has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459272K) : passiv_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459272K) : passiv_pin has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459272K) : passiv_sbump has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459272K) : passiv_pillar has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459272K) : passiv_pdl has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459272K) : metal2_drw has 121 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459272K) : metal2_pin has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459272K) : metal2_mask has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459272K) : metal2_filler has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459432K) : metal2_nofill has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459432K) : metal2_slit has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459432K) : metal2_text has 11 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459432K) : metal2_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459432K) : metal2_noqrc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459432K) : metal2_res has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459592K) : metal2_iprobe has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459592K) : metal2_diffprb has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459592K) : baspoly_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459752K) : baspoly_pin has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459752K) : psd_drw has 94 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459752K) : nldb_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459912K) : digibnd_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459912K) : via1_drw has 192 polygons
2026-09-07 16:07:09 +0200: Memory Usage (459912K) : backmetal1_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460072K) : backmetal1_pin has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460072K) : backmetal1_mask has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460232K) : backmetal1_filler has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460232K) : backmetal1_nofill has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460392K) : backmetal1_slit has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460392K) : backmetal1_text has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460392K) : backmetal1_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460552K) : backmetal1_noqrc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460552K) : backmetal1_res has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460712K) : backmetal1_iprobe has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460712K) : backmetal1_diffprb has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460712K) : backpassiv_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460872K) : res_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460872K) : sram_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (460872K) : trans_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461032K) : ind_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461032K) : ind_pin has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461032K) : ind_text has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461032K) : salblock_drw has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461032K) : via2_drw has 109 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461192K) : metal3_drw has 14 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461192K) : metal3_pin has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461192K) : metal3_mask has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461192K) : metal3_filler has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461352K) : metal3_nofill has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461352K) : metal3_slit has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461352K) : metal3_text has 1 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461352K) : metal3_opc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461512K) : metal3_noqrc has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461512K) : metal3_res has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461512K) : metal3_iprobe has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461512K) : metal3_diffprb has 0 polygons
2026-09-07 16:07:09 +0200: Memory Usage (461672K) : nwell_drw has 27 polygons
