Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;$122;$68;0.004;
C2;$122;enable;0.05;
C3;$122;s0;0.121;
C4;$122;s10;0.021;
C5;$122;vbn;0.0;
C6;$122;vbp;0.03;
C7;$122;VGND;0.003;
C8;$122;VPWR;0.166;
C9;$122;VSUBS;0.141;
C10;$124;s0;0.015;
C11;$124;s1;0.055;
C12;$124;s10;0.005;
C13;$124;vbn;0.0;
C14;$124;vbp;0.026;
C15;$124;VGND;0.001;
C16;$124;VPWR;0.07;
C17;$124;VSUBS;0.071;
C18;$125;s1;0.015;
C19;$125;s10;0.005;
C20;$125;s2;0.055;
C21;$125;vbn;0.0;
C22;$125;vbp;0.026;
C23;$125;VGND;0.001;
C24;$125;VPWR;0.07;
C25;$125;VSUBS;0.071;
C26;$126;s10;0.005;
C27;$126;s2;0.015;
C28;$126;s3;0.055;
C29;$126;vbn;0.0;
C30;$126;vbp;0.026;
C31;$126;VGND;0.001;
C32;$126;VPWR;0.071;
C33;$126;VSUBS;0.071;
C34;$127;s10;0.005;
C35;$127;s3;0.015;
C36;$127;s4;0.055;
C37;$127;vbn;0.0;
C38;$127;vbp;0.026;
C39;$127;VGND;0.001;
C40;$127;VPWR;0.07;
C41;$127;VSUBS;0.071;
C42;$128;s10;0.005;
C43;$128;s5;0.015;
C44;$128;s6;0.055;
C45;$128;vbn;0.0;
C46;$128;vbp;0.026;
C47;$128;VGND;0.001;
C48;$128;VPWR;0.07;
C49;$128;VSUBS;0.071;
C50;$129;s10;0.005;
C51;$129;s4;0.015;
C52;$129;s5;0.055;
C53;$129;vbn;0.0;
C54;$129;vbp;0.026;
C55;$129;VGND;0.001;
C56;$129;VPWR;0.07;
C57;$129;VSUBS;0.071;
C58;$130;s10;0.005;
C59;$130;s6;0.015;
C60;$130;s7;0.055;
C61;$130;vbn;0.0;
C62;$130;vbp;0.026;
C63;$130;VGND;0.001;
C64;$130;VPWR;0.07;
C65;$130;VSUBS;0.071;
C66;$131;s10;0.005;
C67;$131;s7;0.015;
C68;$131;s8;0.055;
C69;$131;vbn;0.0;
C70;$131;vbp;0.026;
C71;$131;VGND;0.001;
C72;$131;VPWR;0.07;
C73;$131;VSUBS;0.071;
C74;$132;s10;0.005;
C75;$132;s8;0.015;
C76;$132;s9;0.055;
C77;$132;vbn;0.0;
C78;$132;vbp;0.026;
C79;$132;VGND;0.001;
C80;$132;VPWR;0.07;
C81;$132;VSUBS;0.071;
C82;$133;s10;0.06;
C83;$133;s9;0.015;
C84;$133;vbp;0.026;
C85;$133;VGND;0.001;
C86;$133;VPWR;0.073;
