code,f_hz,idd_a,vbp_v,vbn_v,nrise,vout_avg
0,3813300.7931665643,1.21085e-05,0.855202,0.254942,2,0.556653
1,5813362.01258593,1.66092e-05,0.839023,0.269865,9,0.605534
2,7835915.920622173,2.80791e-05,0.826778,0.281022,9,0.574375
3,9872764.744357098,4.38971e-05,0.816741,0.290071,9,0.582394
4,11919306.296373554,4.73691e-05,0.808134,0.297761,9,0.5919
6,16029494.269455802,4.74164e-05,0.793698,0.310511,9,0.58749
8,20152148.722857583,5.43131e-05,0.781675,0.320992,9,0.584704
12,28397997.941145167,7.55294e-05,0.761951,0.337931,9,0.587353
16,36604895.90482727,7.60443e-05,0.745783,0.351597,9,0.591849
24,52773929.67873874,9.23989e-05,0.719552,0.373396,9,0.590702
32,68493150.68493146,0.000116545,0.698226,0.390819,9,0.594185
48,98328416.91248779,0.000162874,0.663885,0.41839,9,0.592837
64,125865324.10320942,0.000206669,0.636196,0.440241,9,0.595059
96,174482006.54307464,0.000288524,0.592105,0.474434,9,0.596213
128,215866162.97895312,0.000364317,0.557076,0.501129,9,0.597948
160,251414204.9025772,0.000435099,0.527761,0.523175,9,0.599086
192,282186948.85361433,0.000501525,0.502466,0.54199,9,0.599666
224,309119010.8191639,0.000564069,0.480196,0.558396,9,0.59968
255,331950207.46888095,0.000621313,0.460897,0.572492,9,0.599826
