code,f_hz,idd_a,vbp_v,vbn_v,nrise,vout_avg
0,3581661.8911174783,3.15832e-05,0.857433,0.25287,2,0.598875
1,7377895.824110963,1.37161e-05,0.829188,0.278836,9,0.580892
2,11245115.402996823,1.75484e-05,0.810714,0.295462,9,0.580138
3,15149219.815179525,2.15352e-05,0.796436,0.308107,9,0.577789
4,19075323.684398774,2.55401e-05,0.784559,0.318489,9,0.585748
6,26955086.08780619,3.36027e-05,0.765102,0.335246,9,0.592105
8,34826520.39528101,4.29105e-05,0.749171,0.348749,9,0.587632
12,50419108.84225119,6.86337e-05,0.72335,0.370267,9,0.58857
16,65649105.530937135,9.12704e-05,0.702372,0.387451,9,0.585958
24,94652153.33648826,0.000116542,0.668606,0.414632,9,0.587907
32,121469784.39113264,0.000138175,0.64138,0.436173,9,0.588511
48,168883259.4469074,0.000180363,0.598006,0.469898,9,0.590758
64,209424083.76963288,0.000220077,0.563512,0.496254,9,0.592637
96,274725274.72527486,0.000292254,0.50964,0.536673,9,0.595116
128,324939073.9236384,0.000356329,0.467944,0.567358,9,0.596858
160,364132908.5116071,0.000413759,0.433927,0.591991,9,0.597221
192,395061728.39506304,0.000465598,0.405293,0.612416,9,0.597166
224,420168067.226891,0.000512657,0.380676,0.629713,9,0.597767
255,440286186.0209159,0.000554296,0.359816,0.644145,9,0.597628
