 code     f_MHz   Idd_uA    vbp    vbn edges  vout
    0     3.582     31.6  0.857  0.253     2  0.60
    1     7.378     13.7  0.829  0.279     9  0.58
    2    11.245     17.5  0.811  0.295     9  0.58
    3    15.149     21.5  0.796  0.308     9  0.58
    4    19.075     25.5  0.785  0.318     9  0.59
    6    26.955     33.6  0.765  0.335     9  0.59
    8    34.827     42.9  0.749  0.349     9  0.59
   12    50.419     68.6  0.723  0.370     9  0.59
   16    65.649     91.3  0.702  0.387     9  0.59
   24    94.652    116.5  0.669  0.415     9  0.59
   32   121.470    138.2  0.641  0.436     9  0.59
   48   168.883    180.4  0.598  0.470     9  0.59
   64   209.424    220.1  0.564  0.496     9  0.59
   96   274.725    292.3  0.510  0.537     9  0.60
  128   324.939    356.3  0.468  0.567     9  0.60
  160   364.133    413.8  0.434  0.592     9  0.60
  192   395.062    465.6  0.405  0.612     9  0.60
  224   420.168    512.7  0.381  0.630     9  0.60
  255   440.286    554.3  0.360  0.644     9  0.60
