 code     f_MHz   Idd_uA    vbp    vbn edges  vout
    0     1.851      8.6  0.881  0.231     2  0.63
    1     3.804     33.3  0.855  0.255     2  0.61
    2     5.796     17.1  0.839  0.270     2  0.58
    4     9.842     22.8  0.817  0.290     9  0.57
    8    18.055     36.4  0.787  0.316     9  0.59
   16    34.601     65.0  0.750  0.348     9  0.59
   32    66.957    135.4  0.701  0.389     9  0.59
   64   125.196    222.8  0.638  0.439     9  0.59
  128   215.924    378.8  0.558  0.500     9  0.59
  192   282.586    516.0  0.503  0.541     9  0.60
  255   332.502    636.0  0.461  0.572     9  0.60
