code,f_hz,idd_a,vbp_v,vbn_v,nrise,vout_avg
0,0.0,2.87917e-06,1.09929,0.0336132,0,0.0
1,0.0,5.74757e-06,1.05506,0.067788,0,6.85072e-08
2,0.0,8.61687e-06,1.0324,0.0881069,0,6.86561e-08
4,0.0,1.43989e-05,1.00689,0.111798,0,6.93277e-08
8,0.0,2.60524e-05,0.980518,0.136637,0,7.22349e-08
16,0.0,4.94588e-05,0.954185,0.161549,0,8.9409e-08
32,0.0,9.61236e-05,0.928131,0.186237,0,0.455998
64,966715.9691810949,0.000188586,0.902399,0.210613,2,0.536653
128,2069622.0870069128,0.000371404,0.876937,0.234635,2,0.60238
192,3147425.406017879,0.000563687,0.862147,0.248482,2,0.604386
255,4162677.4341256255,0.000743601,0.851835,0.258063,2,0.603004
