PVT,code,vbp V,vbn V,I_dac uA,I_stage(p) uA,I_stage(n) uA,I_dac/I_stage
tt_-40C_1.08V,0,0.691372125,0.307648328,5.68618697,0.126810645,0.174196026,44.83998145423833
tt_-40C_1.08V,1,0.678229164,0.319861555,8.51450684,0.18932975000000002,0.25437093699999996,44.971837970524966
tt_-40C_1.08V,16,0.600067797,0.387702336,50.2116436,1.09703214,1.29725227,45.77043987061309
tt_-40C_1.08V,128,0.435804831,0.51416859,321.191075,6.889112330000001,7.1836416100000005,46.622998670134905
tt_-40C_1.08V,255,0.353070125,0.573164704,559.177603,11.9185356,12.0613439,46.91663655390684
tt_-40C_1.20V,0,0.804220627,0.314666269,7.119868530000001,0.161136775,0.21750560899999996,44.185249022142834
tt_-40C_1.20V,1,0.790419863,0.327411818,10.6650756,0.24095986099999997,0.317370342,44.26079744460012
tt_-40C_1.20V,16,0.706010241,0.399913017,63.145928100000006,1.40266567,1.61968773,45.01851685013436
tt_-40C_1.20V,128,0.521491957,0.540372113,411.767037,8.94704733,9.17637093,46.022673381789296
tt_-40C_1.20V,255,0.425818594,0.607913308,724.429791,15.6362808,15.5895157,46.330057656677546
tt_-40C_1.32V,0,0.917960222,0.320816028,8.59866166,0.197289095,0.262235358,43.58406966183306
tt_-40C_1.32V,1,0.903522571,0.33407178,12.883106100000001,0.295273066,0.382291643,43.63115903026523
tt_-40C_1.32V,16,0.812955096,0.411306136,76.4711345,1.72077584,1.9520022000000001,44.43991641584182
tt_-40C_1.32V,128,0.609572076,0.56448338,506.40152200000006,11.1044152,11.255193199999999,45.60361918023382
tt_-40C_1.32V,255,0.501174829,0.640393639,899.144144,19.5772857,19.3152522,45.92792677076782
tt_27C_1.08V,0,0.743647747,0.246824913,4.53709527,0.102002673,0.148174697,44.48016053461657
tt_27C_1.08V,1,0.727967602,0.261346703,6.78654582,0.15226035500000001,0.215547382,44.571982115764804
tt_27C_1.08V,16,0.640630315,0.338471648,39.806340999999996,0.878565223,1.07607692,45.308350430802335
tt_27C_1.08V,128,0.470900119,0.474235952,253.102798,5.45901693,5.79882643,46.36417165315515
tt_27C_1.08V,255,0.386707547,0.537254324,442.868476,9.47657572,9.738157789999999,46.732964425677594
tt_27C_1.20V,0,0.855203083,0.254941101,5.66027143,0.12856771,0.183422623,44.02560666282381
tt_27C_1.20V,1,0.83893605,0.269955816,8.47096021,0.192218364,0.266628919,44.06946367517725
tt_27C_1.20V,16,0.745782136,0.351599672,49.9103475,1.11604676,1.33241225,44.72065982253289
tt_27C_1.20V,128,0.557075623,0.501132463,322.602308,7.037149360000001,7.33748502,45.84275414611918
tt_27C_1.20V,255,0.460898103,0.572491446,569.328485,12.321439699999999,12.449259500000002,46.20632806408167
tt_27C_1.32V,0,0.967762091,0.26210506,6.83726609,0.156833814,0.220157794,43.59561191312991
tt_27C_1.32V,1,0.95091508,0.277602785,10.236023600000001,0.234726658,0.319766883,43.60827051863875
tt_27C_1.32V,16,0.852183208,0.363546808,60.4952842,1.36689635,1.5988566400000004,44.257404155040724
tt_27C_1.32V,128,0.645243221,0.526207477,396.29506399999997,8.714578690000002,8.963144569999999,45.474953878694045
tt_27C_1.32V,255,0.537246601,0.605744359,704.5019199999999,15.367039299999998,15.337523,45.845000214192204
tt_125C_1.08V,0,0.841916485,0.147518209,3.56956196,0.0808400973,0.129483647,44.15583453287111
tt_125C_1.08V,1,0.823310384,0.164577989,5.214203299999999,0.11788672700000001,0.18262809300000002,44.230622332911146
tt_125C_1.08V,16,0.722976914,0.255900948,29.365634,0.655517327,0.851561927,44.79764727866606
tt_125C_1.08V,128,0.542665508,0.412233577,187.612505,4.079582149999999,4.45429779,45.98816694989216
tt_125C_1.08V,255,0.454347149,0.485305549,333.189384,7.173425179999999,7.52722166,46.44773948837646
tt_125C_1.20V,0,0.95226336,0.156588972,4.35790358,0.09936045240000001,0.15590213,43.85953842537054
tt_125C_1.20V,1,0.933002341,0.17430255,6.39459672,0.14567639300000002,0.220701734,43.895902337450096
tt_125C_1.20V,16,0.827404721,0.270340457,36.4055302,0.820590493,1.03628316,44.36504018820018
tt_125C_1.20V,128,0.630133184,0.440570863,235.829356,5.17673163,5.53359139,45.55564646877397
tt_125C_1.20V,255,0.530982033,0.522106291,421.591723,9.16801718,9.43557034,45.985049408469806
tt_125C_1.32V,0,1.06357141,0.164803181,5.197375050000001,0.11927199200000001,0.18372444799999996,43.57582163966877
tt_125C_1.32V,1,1.04369748,0.183119684,7.65178011,0.175573111,0.26071382800000004,43.58173108865172
tt_125C_1.32V,16,0.932990658,0.283690226,43.906273999999996,0.9976043559999999,1.23047344,44.01171038992536
tt_125C_1.32V,128,0.719165041,0.467378425,287.588303,6.35588648,6.685330779999999,45.247551841108404
tt_125C_1.32V,255,0.609273729,0.557227671,516.926156,11.3190541,11.48201,45.668670847681526
ss_-40C_1.08V,0,0.651378347,0.359801876,4.62534602,0.0987906865,0.12865533099999998,46.81965662825918
ss_-40C_1.08V,1,0.638851061,0.371481857,6.92791708,0.147931373,0.189114789,46.83196633347005
ss_-40C_1.08V,16,0.565574595,0.435729791,40.9890257,0.8729612699999999,1.00036299,46.95400255271348
ss_-40C_1.08V,128,0.412676222,0.555684334,266.10960300000005,5.63835949,5.767194919999999,47.196281732649865
ss_-40C_1.08V,255,0.335451696,0.612307213,467.460257,9.87636813,9.820982919999999,47.33119005356476
ss_-40C_1.20V,0,0.763803752,0.367224123,5.93418479,0.12874955400000002,0.165044904,46.09091531299595
ss_-40C_1.20V,1,0.750636401,0.379433868,8.89085116,0.19315911699999996,0.24254805499999998,46.02863845147937
ss_-40C_1.20V,16,0.671028144,0.448597337,52.774521,1.1454422100000001,1.28389588,46.07349069142475
ss_-40C_1.20V,128,0.497937227,0.583233854,349.129596,7.50535132,7.56347858,46.51742218510832
ss_-40C_1.20V,255,0.408006869,0.648436841,619.9476500000001,13.2768855,13.0315757,46.69375585109927
ss_-40C_1.32V,0,0.877226515,0.3736741,7.29898696,0.16074042000000002,0.203211253,45.40853482901189
ss_-40C_1.32V,1,0.863439612,0.386398596,10.9376592,0.24142805099999998,0.298483919,45.3040115044461
ss_-40C_1.32V,16,0.778039416,0.459902005,65.05309869999999,1.4329407800000002,1.5785017900000002,45.39831625142247
ss_-40C_1.32V,128,0.585889138,0.607897929,436.724307,9.48519373,9.45674463,46.04273981444552
ss_-40C_1.32V,255,0.483296521,0.682282198,782.9181140000001,16.926585900000003,16.4655737,46.25375244750331
ss_27C_1.08V,0,0.703464306,0.29855426,3.7324733799999996,0.08076044859999999,0.11160506400000002,46.21660038673931
ss_27C_1.08V,1,0.688283835,0.312608152,5.58746163,0.12087337599999999,0.16332943500000002,46.22574312808141
ss_27C_1.08V,16,0.604841839,0.386760791,32.910038099999994,0.708778107,0.843386881,46.432074827051615
ss_27C_1.08V,128,0.444898209,0.516238711,211.67498600000002,4.50940469,4.70453964,46.940782775475405
ss_27C_1.08V,255,0.365868299,0.576009274,372.621738,7.90044431,7.98551307,47.164655983759474
ss_27C_1.20V,0,0.814480173,0.307157796,4.75909637,0.10409917700000001,0.141445379,45.716945197366925
ss_27C_1.20V,1,0.798732398,0.3216945,7.12685962,0.156063419,0.206917873,45.66643269554411
ss_27C_1.20V,16,0.70961528,0.400232554,42.1353544,0.9209553469999999,1.06879987,45.75178865865252
ss_27C_1.20V,128,0.530619842,0.543657538,275.490151,5.94280936,6.0912194600000005,46.356888520482514
ss_27C_1.20V,255,0.439611236,0.612326077,489.28417199999996,10.4999167,10.450588699999999,46.598862255735796
ss_27C_1.32V,0,0.926631027,0.314691216,5.84608498,0.12923400000000002,0.17296630899999998,45.236431434452236
ss_27C_1.32V,1,0.910314743,0.329708652,8.75679213,0.193974659,0.252891362,45.14400063979491
ss_27C_1.32V,16,0.815649325,0.412565938,51.901236000000004,1.14803974,1.30631848,45.20857091584652
ss_27C_1.32V,128,0.618396794,0.569400852,343.83603,7.4842492,7.5741844,45.94128560016414
ss_27C_1.32V,255,0.515627272,0.646633674,615.331397,13.3170745,13.1092862,46.20619919187206
ss_125C_1.08V,0,0.80424624,0.19574339,2.8187851399999997,0.0616972557,0.09449395539999998,45.68736661005166
ss_125C_1.08V,1,0.785194772,0.213242642,4.19703523,0.09183216550000001,0.136589363,45.70332418002274
ss_125C_1.08V,16,0.686577917,0.302991737,24.4893822,0.533842094,0.6763301100000001,45.87383137306516
ss_125C_1.08V,128,0.513924882,0.452989973,158.603495,3.40576247,3.65830947,46.5691592990042
ss_125C_1.08V,255,0.430054186,0.522524729,282.813837,6.031679150000001,6.23581651,46.88807709541379
ss_125C_1.20V,0,0.913520974,0.205814526,3.53877637,0.07800866890000001,0.117191118,45.363886089844556
ss_125C_1.20V,1,0.893970767,0.22379942,5.27595746,0.116376687,0.169461494,45.33517490491889
ss_125C_1.20V,16,0.790397559,0.317960465,30.9310023,0.681646997,0.8396277839999999,45.37686285735958
ss_125C_1.20V,128,0.600731447,0.481927613,202.904694,4.40263773,4.6320798100000005,46.08707471373076
ss_125C_1.20V,255,0.506014042,0.560122537,364.26052300000003,7.8512432500000005,7.969337510000001,46.39526650763241
ss_125C_1.32V,0,1.02400585,0.214787132,4.31297841,0.0957381046,0.14134094600000002,45.04975764895183
ss_125C_1.32V,1,1.00395677,0.233254563,6.4362359499999995,0.14307864499999998,0.20438495699999998,44.98390343296863
ss_125C_1.32V,16,0.895460054,0.331776907,37.8602435,0.84201958,1.0131838800000001,44.96361414778502
ss_125C_1.32V,128,0.689171376,0.509315591,250.907925,5.48581248,5.682534840000001,45.73760512499327
ss_125C_1.32V,255,0.58371239,0.596010162,452.959638,9.83600425,9.84917991,46.051183639942
ff_-40C_1.08V,0,0.734269082,0.258549566,6.84207151,0.163521157,0.23493330699999998,41.84211777562215
ff_-40C_1.08V,1,0.720546855,0.27112468,10.241019099999999,0.24276989399999999,0.339970692,42.18405722086776
ff_-40C_1.08V,16,0.637747181,0.341889666,60.1986293,1.36599279,1.6597856500000001,44.0695073507672
ff_-40C_1.08V,128,0.463383869,0.473721783,381.013749,8.31199201,8.820354870000001,45.83904177742346
ff_-40C_1.08V,255,0.375415512,0.535242835,659.752702,14.232864100000002,14.638908000000002,46.354177020491605
ff_-40C_1.20V,0,0.847537913,0.26509988,8.38327936,0.202931772,0.286113432,41.31082716805922
ff_-40C_1.20V,1,0.833154458,0.278199209,12.553337599999999,0.301638585,0.41354818699999996,41.61714788577198
ff_-40C_1.20V,16,0.744290685,0.353360074,74.1265585,1.70480922,2.02120019,43.48085265517276
ff_-40C_1.20V,128,0.549649714,0.499158338,478.17251,10.549160800000001,11.0021608,45.32801414876527
ff_-40C_1.20V,255,0.449060586,0.568576393,836.383873,18.2515337,18.4671967,45.82540222359505
ff_-40C_1.32V,0,0.96160351,0.270878896,9.956657569999999,0.24384182299999999,0.338178996,40.83244394871507
ff_-40C_1.32V,1,0.94658657,0.284475409,14.913572100000001,0.362646637,0.488235822,41.12425313901367
ff_-40C_1.32V,16,0.852014478,0.363760477,88.3256825,2.05234793,2.38753361,43.03640781804477
ff_-40C_1.32V,128,0.638532844,0.522173091,578.663772,12.865338099999999,13.2475411,44.97851261289434
ff_-40C_1.32V,255,0.525226554,0.599712415,1021.12096,22.457484499999996,22.459593,45.469071124150176
ff_27C_1.08V,0,0.786206988,0.199087718,5.47510851,0.130769939,0.19762023799999998,41.868250087659675
ff_27C_1.08V,1,0.770176708,0.213808936,8.15391081,0.193674235,0.28440274200000004,42.101164411466506
ff_27C_1.08V,16,0.679161786,0.293380285,47.3644594,1.08430622,1.36064585,43.68181102936032
ff_27C_1.08V,128,0.500370244,0.43507948,298.471121,6.550409949999999,7.074314740000001,45.565258247691816
ff_27C_1.08V,255,0.411705196,0.500635489,520.483508,11.2777187,11.7639822,46.1514887758284
ff_27C_1.20V,0,0.898338708,0.206618267,6.68588866,0.16115416899999999,0.239002568,41.48753148297392
ff_27C_1.20V,1,0.881692902,0.221852362,9.96963295,0.23914179800000002,0.343807802,41.689211310521294
ff_27C_1.20V,16,0.784947842,0.305812835,58.2614219,1.3479927,1.6483972999999998,43.22087345131765
ff_27C_1.20V,128,0.58752371,0.460927225,373.16446599999995,8.269160099999999,8.75983802,45.12725131540264
ff_27C_1.20V,255,0.486879342,0.534738187,656.08182,14.363315,14.714899800000001,45.67760436918636
ff_27C_1.32V,0,1.01135017,0.213316684,7.941892490000001,0.19307044399999998,0.28156151100000004,41.13468807271195
ff_27C_1.32V,1,0.994108583,0.229042911,11.8530741,0.286867724,0.404782195,41.31895333056012
ff_27C_1.32V,16,0.89189076,0.31717224,69.5622877,1.62285339,1.94391975,42.86418485406128
ff_27C_1.32V,128,0.676577487,0.485058158,451.569343,10.074161700000001,10.519974099999999,44.82450812755963
ff_27C_1.32V,255,0.564143176,0.566913251,799.4925079999999,17.625112400000003,17.8205885,45.360987768792896
ff_125C_1.08V,0,0.875251658,0.110625032,5.11460924,0.12202298799999999,0.202596993,41.91512864772661
ff_125C_1.08V,1,0.858922056,0.125193109,7.04632409,0.16745446,0.267322926,42.07904698387848
ff_125C_1.08V,16,0.76074182,0.213655879,35.3622998,0.817649546,1.0819624300000001,43.24872431348479
ff_125C_1.08V,128,0.57446661,0.374787235,219.879305,4.86750025,5.3923403,45.172941696304996
ff_125C_1.08V,255,0.482176441,0.451143283,389.073812,8.48799472,9.027438519999999,45.838130775840064
ff_125C_1.20V,0,0.987429574,0.117817641,5.9750815699999995,0.14346698100000002,0.23274970399999997,41.647782147168755
ff_125C_1.20V,1,0.970115295,0.133390643,8.33034921,0.199349848,0.310692434,41.78758746783694
ff_125C_1.20V,16,0.866003272,0.227295051,42.977199999999996,1.0016745599999999,1.28931853,42.905352413063184
ff_125C_1.20V,128,0.662590196,0.402663062,271.833654,6.06690698,6.580395090000001,44.80597030680039
ff_125C_1.20V,255,0.559836101,0.487078461,484.220501,10.6606601,11.1123408,45.42124938398514
ff_125C_1.32V,0,1.10018793,0.124546488,6.88160563,0.16621661499999998,0.264248741,41.401430476730624
ff_125C_1.32V,1,1.08199724,0.141006005,9.68384992,0.233214517,0.3558802280000001,41.523358170709415
ff_125C_1.32V,16,0.972306353,0.239959906,51.012685,1.19654753,1.5050567400000001,42.63322912045124
ff_125C_1.32V,128,0.752549412,0.42868087,327.098071,7.34112698,7.832756819999999,44.55692864203801
ff_125C_1.32V,255,0.639113564,0.521374793,585.834747,12.976137000000001,13.323193999999999,45.14708398963419
sf_-40C_1.08V,0,0.718763921,0.335518494,5.162518029999999,0.11952569400000002,0.15929460399999998,43.19170094088723
sf_-40C_1.08V,1,0.705805912,0.347487986,7.735244850000001,0.178176213,0.232637315,43.41345412925574
sf_-40C_1.08V,16,0.62957342,0.413901725,45.9720402,1.02736136,1.19198318,44.747682743294924
sf_-40C_1.08V,128,0.466988161,0.540861385,306.631616,6.64732588,6.843046150000001,46.12856681550265
sf_-40C_1.08V,255,0.382547077,0.602115998,546.95889,11.753922500000002,11.7428249,46.534158277800444
sf_-40C_1.20V,0,0.831373502,0.342706659,6.53370571,0.153246351,0.20086202,42.63531018758157
sf_-40C_1.20V,1,0.817783877,0.355203524,9.79124516,0.228717893,0.293060072,42.80926617315419
sf_-40C_1.20V,16,0.735475161,0.426330451,58.2797713,1.32186213,1.49978255,44.08914513649014
sf_-40C_1.20V,128,0.553407238,0.567040697,393.710615,8.63730956,8.759166089999999,45.58255232894536
sf_-40C_1.20V,255,0.456203217,0.637061633,708.301329,15.3998516,15.185725199999998,45.99403600746386
sf_-40C_1.32V,0,0.944936079,0.348985005,7.955296079999999,0.188887315,0.24398287800000001,42.1166242952842
sf_-40C_1.32V,1,0.930729364,0.361992372,11.922931,0.282088394,0.35561748299999996,42.26664851727293
sf_-40C_1.32V,16,0.842755533,0.437401189,71.042068,1.6298715899999998,1.81727975,43.58752458529571
sf_-40C_1.32V,128,0.642149904,0.591279354,484.76966,10.7243361,10.7608657,45.20276644444218
sf_-40C_1.32V,255,0.532430162,0.669796446,878.863705,19.2626937,18.8226285,45.62517157192818
sf_27C_1.08V,0,0.771941761,0.274598154,4.142302529999999,0.0961612226,0.13576349399999998,43.07664168571001
sf_27C_1.08V,1,0.756377844,0.288924664,6.20340917,0.143514014,0.19773813099999998,43.2251108940483
sf_27C_1.08V,16,0.670425038,0.365170859,36.7484661,0.8288449029999999,0.9967879890000001,44.33696336550917
sf_27C_1.08V,128,0.502228235,0.501447234,242.95154300000002,5.2979286199999995,5.55549331,45.85783622732162
sf_27C_1.08V,255,0.416724177,0.566503719,434.213447,9.37084301,9.50838664,46.33664725112069
sf_27C_1.20V,0,0.883209825,0.282922599,5.21773474,0.122236918,0.169581616,42.68542454579884
sf_27C_1.20V,1,0.867091758,0.297732345,7.815647059999999,0.18263537700000004,0.246746133,42.793719313208406
sf_27C_1.20V,16,0.775679341,0.378278135,46.387059400000005,1.0583350299999998,1.24162143,43.830222080053424
sf_27C_1.20V,128,0.58898278,0.528551281,310.17780300000004,6.833766589999999,7.04462188,45.38899579243605
sf_27C_1.20V,255,0.491742862,0.601870021,558.138508,12.1714417,12.1629284,45.856400725314245
sf_27C_1.32V,0,0.995550912,0.290247049,6.35010419,0.150082964,0.204978616,42.3106262080485
sf_27C_1.32V,1,0.978878842,0.305536212,9.51336569,0.224408621,0.297953653,42.393049106611635
sf_27C_1.32V,16,0.882119362,0.390314857,56.5397994,1.30188734,1.49765236,43.42910301286131
sf_27C_1.32V,128,0.677804462,0.553506354,381.54865900000004,8.46729003,8.61863605,45.06148456568223
sf_27C_1.32V,255,0.568861451,0.635306321,690.695877,15.1703722,14.9936537,45.52926374476165
sf_125C_1.08V,0,0.87321736,0.173308847,3.15999658,0.0736428286,0.11485931699999999,42.90976650508506
sf_125C_1.08V,1,0.854129316,0.190758172,4.67791548,0.10867835999999999,0.164287695,43.04367014739641
sf_125C_1.08V,16,0.753906432,0.282166691,27.1604754,0.618903782,0.7902671550000001,43.88481083801165
sf_125C_1.08V,128,0.574810719,0.439612802,180.094764,3.96161088,4.27221175,45.459983187445204
sf_125C_1.08V,255,0.485871308,0.514149844,325.776548,7.077770399999999,7.33700272,46.028131683955166
sf_125C_1.20V,0,0.98295231,0.182908822,3.9147140300000003,0.0917458208,0.140293192,42.669126461180454
sf_125C_1.20V,1,0.963322495,0.200907664,5.80850748,0.135829338,0.200929483,42.76327607515837
sf_125C_1.20V,16,0.858275542,0.296760435,33.9001685,0.7790667420000001,0.967619731,43.51381810109408
sf_125C_1.20V,128,0.662881652,0.467788609,226.85502000000002,5.03240624,5.31858508,45.078836878638
sf_125C_1.20V,255,0.563272625,0.551030848,412.464143,9.04297775,9.206933350000002,45.61154018099845
sf_125C_1.32V,0,1.09378931,0.19152596,4.72204913,0.111287227,0.167167042,42.431186914199955
sf_125C_1.32V,1,1.07363484,0.210052914,7.018097,0.165152994,0.23957350300000002,42.494518749081834
sf_125C_1.32V,16,0.963814785,0.310272129,41.1144711,0.951492408,1.15487091,43.21050883256233
sf_125C_1.32V,128,0.752466523,0.494561073,277.15432100000004,6.18506816,6.4378043400000005,44.81022905978776
sf_125C_1.32V,255,0.642272764,0.586282051,506.097816,11.1647915,11.215566899999999,45.32980450194704
fs_-40C_1.08V,0,0.66554986,0.2812249,6.19920763,0.13523280699999998,0.190937369,45.841003877113934
fs_-40C_1.08V,1,0.652275402,0.293572538,9.27066114,0.20189616400000002,0.278407027,45.91796573212753
fs_-40C_1.08V,16,0.572627524,0.36228367,53.9723968,1.16328108,1.4014285000000004,46.39669442573587
fs_-40C_1.08V,128,0.408120876,0.487433375,331.419664,7.06065889,7.46107355,46.93891450688677
fs_-40C_1.08V,255,0.327802288,0.543915033,565.233392,11.983687399999999,12.2844733,47.166900565179965
fs_-40C_1.20V,0,0.778607645,0.288061321,7.69163456,0.170477972,0.236340275,45.11805525232315
fs_-40C_1.20V,1,0.764642634,0.300952391,11.5118785,0.25504827199999996,0.34446502700000003,45.13607722070746
fs_-40C_1.20V,16,0.678537103,0.374339993,67.5430461,1.48150529,1.74033312,45.590823438774216
fs_-40C_1.20V,128,0.49331288,0.513563659,424.86071100000004,9.17488954,9.5205097,46.30690202293161
fs_-40C_1.20V,255,0.39990434,0.57856973,733.583227,15.758372699999999,15.886957899999999,46.551965800377346
fs_-40C_1.32V,0,0.892517011,0.294058099,9.22097897,0.20738822499999998,0.28293406499999996,44.46240363935803
fs_-40C_1.32V,1,0.877893272,0.307461231,13.8074698,0.310619431,0.4120736960000001,44.45140394323882
