PVT,load fF,VDD,V high,V low,high/VDD,low/VDD,rise 20-80 ps,fall 20-80 ps,delay ps
tt_-40C_1.08V,15.0,1.08,1.12578,-0.0379262,1.0423888888888888,-0.03511685185185185,57.734,62.26,139.57399999999998
tt_-40C_1.08V,108.0,1.08,1.09044,-0.0083913,1.0096666666666667,-0.007769722222222222,297.00600000000003,301.39,312.297
tt_-40C_1.20V,15.0,1.2,1.24383,-0.0349371,1.0365250000000001,-0.02911425,46.372,48.84,113.425
tt_-40C_1.20V,108.0,1.2,1.21083,-0.00853829,1.009025,-0.007115241666666668,241.561,236.06,252.569
tt_-40C_1.32V,15.0,1.32,1.36156,-0.0308924,1.0314848484848484,-0.02340333333333333,39.278999999999996,40.699999999999996,96.822
tt_-40C_1.32V,108.0,1.32,1.33102,-0.00845388,1.008348484848485,-0.006404454545454546,206.155,196.98,214.499
tt_27C_1.08V,15.0,1.08,1.11973,-0.0331912,1.036787037037037,-0.03073259259259259,60.029,62.800000000000004,138.52700000000002
tt_27C_1.08V,108.0,1.08,1.08951,-0.007717,1.0088055555555555,-0.00714537037037037,310.872,303.26,318.552
tt_27C_1.20V,15.0,1.2,1.23876,-0.0307791,1.0323000000000002,-0.025649250000000002,49.318,50.76,114.743
tt_27C_1.20V,108.0,1.2,1.20988,-0.00788902,1.0082333333333335,-0.006574183333333334,257.58299999999997,245.37,262.5
tt_27C_1.32V,15.0,1.32,1.35727,-0.0270765,1.0282348484848485,-0.0205125,42.42,43.199999999999996,99.164
tt_27C_1.32V,108.0,1.32,1.3301,-0.00779582,1.007651515151515,-0.005905924242424242,222.554,209.45000000000002,225.70600000000002
tt_125C_1.08V,15.0,1.08,1.11235,-0.0263169,1.0299537037037036,-0.0243675,62.73,66.42,138.474
tt_125C_1.08V,108.0,1.08,1.08816,-0.00647934,1.0075555555555555,-0.005999388888888888,317.625,326.59999999999997,320.661
tt_125C_1.20V,15.0,1.2,1.23216,-0.0248122,1.0268,-0.020676833333333335,53.084999999999994,55.53,117.52499999999999
tt_125C_1.20V,108.0,1.2,1.20856,-0.00664478,1.0071333333333334,-0.005537316666666667,270.807,273.08,271.552
tt_125C_1.32V,15.0,1.32,1.35099,-0.0224702,1.0234772727272725,-0.017022878787878785,46.577000000000005,48.330000000000005,103.202
tt_125C_1.32V,108.0,1.32,1.32872,-0.00656168,1.0066060606060605,-0.004970969696969697,238.586,237.99,237.85700000000003
ss_-40C_1.08V,15.0,1.08,1.13144,-0.0431432,1.0476296296296295,-0.039947407407407404,71.72500000000001,76.89,171.868
ss_-40C_1.08V,108.0,1.08,1.09055,-0.00894304,1.0097685185185183,-0.008280592592592591,373.252,374.36,390.83599999999996
ss_-40C_1.20V,15.0,1.2,1.25031,-0.0403605,1.041925,-0.033633750000000004,55.473,58.67,135.175
ss_-40C_1.20V,108.0,1.2,1.21133,-0.00918834,1.0094416666666668,-0.00765695,293.164,286.99,305.68
ss_-40C_1.32V,15.0,1.32,1.36805,-0.0362866,1.0364015151515151,-0.027489848484848485,45.865,48.11,113.10199999999999
ss_-40C_1.32V,108.0,1.32,1.33167,-0.00922254,1.008840909090909,-0.006986772727272727,244.51000000000002,236.77,254.022
ss_27C_1.08V,15.0,1.08,1.12557,-0.038458,1.0421944444444444,-0.03560925925925926,74.771,77.85,171.595
ss_27C_1.08V,108.0,1.08,1.0896,-0.00834424,1.0088888888888887,-0.007726148148148147,392.877,378.52,401.625
