PVT,I(0) uA,I(1)-I(0) uA,unit uA,I(255) uA,DNL min,DNL max,at code,|INL| max,monotonic
tt_-40C_1.08V,5.57907064,2.7894568300000007,2.789449138666667,716.888601,-1.7257409705928595e-05,2.818238642232629e-06,128,1.1566441384326565e-05,yes
tt_-40C_1.20V,6.72942313,3.3646359699999997,3.364622666156863,864.708203,-2.45692206973791e-05,3.9629534931417965e-06,128,1.6450325271552938e-05,yes
tt_-40C_1.32V,7.73280107,3.8663298300000006,3.8663070663921575,993.641103,-3.64860808260703e-05,5.931657156788006e-06,128,2.453810354422598e-05,yes
tt_27C_1.08V,4.34909444,2.17093146,2.1709188531764703,557.933402,-3.632248915697023e-05,6.055879792965513e-06,128,2.4326050838856105e-05,yes
tt_27C_1.20V,5.15755647,2.5751674899999992,2.5751451707058823,661.819575,-5.4043829233574314e-05,8.865245524791732e-06,128,3.6051605440369725e-05,yes
tt_27C_1.32V,5.86982778,2.931311640000001,2.931272875372549,753.3444109999999,-8.217432589630036e-05,1.3347316722533975e-05,128,5.521950968108253e-05,yes
tt_125C_1.08V,3.2817423900000002,1.5154598800000003,1.5154368494509802,389.718139,-9.492276171652048e-05,1.5276485479942536e-05,128,6.320093090698708e-05,yes
tt_125C_1.20V,3.7802092000000003,1.7647029,1.7646612423529413,453.768826,-0.00014747439718543198,2.366326526903606e-05,128,9.83118202224335e-05,yes
tt_125C_1.32V,4.232865879999999,1.9910475600000006,1.9909742867450981,511.93130900000006,-0.00022917761828777916,3.702371016678363e-05,128,0.00015300594487509503,yes
ss_-40C_1.08V,4.59132153,2.2956550399999993,2.2956530528235297,589.98285,-5.250280958990494e-06,1.283807445906504e-06,128,3.77762558709506e-06,yes
ss_-40C_1.20V,5.74206857,2.871029310000001,2.8710258722745094,737.853666,-7.269970897061384e-06,1.4377180019842228e-06,128,5.042346021779734e-06,yes
ss_-40C_1.32V,6.784128829999999,3.3920606700000007,3.392054804588235,871.758104,-1.0850233962078626e-05,1.826448026376326e-06,128,7.387193311752369e-06,yes
ss_27C_1.08V,3.65099126,1.8251508499999998,1.8251476146666665,469.063633,-1.0746893308155592e-05,1.9644073157021325e-06,128,7.333836029260118e-06,yes
ss_27C_1.20V,4.473584079999999,2.23644853,2.2364428192941177,574.7665030000001,-1.6016190436229927e-05,2.7636324291258063e-06,128,1.0867467910619021e-05,yes
