case,code,f MHz,shift ppm vs quiet,period jitter ps rms,25-period mean jitter ps,max-min period ps,clk_out min V,edges,note
bounce_mvpp30_code16,16,18.06710812976941,-354.27410728256615,126.65207680702046,4.579074406114784,362.11193363350895,-0.0160452,88,
noise_mvrms10_code16,16,18.082409319158028,492.33446247562046,27.81180417526117,5.357543955926662,133.81677972904663,-0.00160354,88,
quiet_code16,16,18.073511106782224,0.0,0.21642838173023446,0.004707382386636975,0.7172949380967184,-0.00101528,88,
ripple_mvpp100_code16,16,18.001486612610254,-3985.085894292108,460.4859559391504,42.60584959573308,1495.7883087590478,-0.00112956,88,
ripple_mvpp10_code16,16,18.073278685853968,-12.859755189875962,44.500649057224166,1.3315179221254954,125.47157351285051,-0.00102775,88,
ripple_mvpp30_code16,16,18.067263246682614,-345.6915517243013,132.63096545668867,5.12360939776137,381.24254982132794,-0.00105101,89,
slow_enable_code16,16,18.07351155535079,0.02481911594174416,,,,-0.00101528,28,first edge 58.3 ns after enable starts rising; shortest early period 55.329 ns
step_code16,16,18.073513472217837,0.13087858786713472,,,,-0.0010774,86,"before 18.074 MHz, after -50 mV 17.361 MHz (-39418 ppm); settled within 33.6 ns"
xcode_bit0_code16,16,18.073528864032827,0.9825014352980295,0.23625412505861823,0.018260433928020868,1.041072437481068,-0.00101639,88,gate moves -0.061..0.061 V
xcode_bit7_code16,16,18.073518195940323,0.39224022699631594,10.095745108451633,0.8298039157765386,39.86008892147983,-0.00105054,88,gate moves -0.033..0.033 V
xenable_running_code16,16,18.07366231870987,8.366494299599056,5.660869714502881,0.5232657975582253,26.215475779162926,-0.00109929,89,enable dips to 1.139 V
xout_ff10_code16,16,18.0730620400127,-24.846681249066634,11.16078224371671,,66.70572537703136,-0.0803553,20,"19 periods; shortest 55.298 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff20_code16,16,18.072589258794295,-51.00547328524151,30.371839238307142,,182.07032346386694,-0.109305,20,"19 periods; shortest 55.241 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff30_code16,16,19.02669106931647,52739.05866450913,12316.759381691649,,55165.01627169064,-0.287588,21,20 periods; shortest 0.230 ns; 1 extra edge(s) at the 0.6 V threshold - GLITCH
xout_ff5_code16,16,18.07246788104224,-57.72125481441323,21.98179579857604,,114.3415741397267,-0.0448043,20,"19 periods; shortest 55.273 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
bounce_mvpp30_code255,255,164.21544186792167,-240.6621530350424,102.36082655724516,4.919165856888783,280.5997011724598,-0.0214102,89,
noise_mvrms10_code255,255,164.26351897267955,52.03586532179121,14.203790264845239,4.651301424946079,80.34948989024682,-0.00691132,89,
quiet_code255,255,164.25497182308735,0.0,0.06692159029493812,0.0028656423863668997,0.21000097776133878,-0.00649267,89,
ripple_mvpp100_code255,255,163.99740988935156,-1568.0617206107943,340.1515234127598,15.869462667085086,941.8167107148565,-0.0078333,89,
ripple_mvpp10_code255,255,164.25016103133325,-29.288560953139754,34.09662008286098,1.542478516687585,93.747552771977,-0.00659609,89,
ripple_mvpp30_code255,255,164.2224861500084,-197.77588902418904,102.14948470357196,4.675420109278685,281.01901170148597,-0.00692285,89,
slow_enable_code255,255,164.25496103694996,-0.065667037365984,,,,-0.00649264,28,first edge 9.2 ns after enable starts rising; shortest early period 6.088 ns
step_code255,255,164.2549972271461,0.15466234295548856,,,,-0.0068119,85,"before 164.255 MHz, after -50 mV 151.407 MHz (-78217 ppm); settled within 5.5 ns"
xcode_bit0_code255,255,164.25528235668207,1.8905582660960782,0.09214257506649039,0.008844492736994641,0.48973540626068335,-0.00655225,89,gate moves 1.140..1.260 V
xcode_bit7_code255,255,164.25249947938954,-15.051865221158705,3.8061855738936017,0.2862497359930584,14.491790334199921,-0.0065324,89,gate moves 1.188..1.212 V
xenable_running_code255,255,164.24285065270945,-73.79484616718682,1.3522547314595976,0.07759024694915533,6.211897903394837,-0.00654684,89,enable dips to 1.140 V
xenable_stopped_code255,255,,,,,,1.19999,0,enable peak 0.060 V
xout_ff10_code255,255,164.24127951945937,-83.36005586920854,1.4401279011763573,,8.550520372010187,-0.0409304,20,"19 periods; shortest 6.084 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff20_code255,255,164.23000048698802,-152.02788580562583,14.119878421019166,,84.43672219741278,-0.0806457,20,"19 periods; shortest 6.047 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff30_code255,255,164.2201554281874,-211.96554669549926,27.950910066050735,,167.34983231421407,-0.119926,20,"19 periods; shortest 6.006 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
xout_ff5_code255,255,164.2481059416727,-41.80014363307581,3.3359473604982686,,19.9910823814351,-0.0206897,20,"19 periods; shortest 6.078 ns; 0 extra edge(s) at the 0.6 V threshold, clean"
