PVT,code,NAND tPLH ps,NAND tPHL ps,stage tPLH ps,stage tPHL ps,NAND/stage (mean)
tt_-40C_1.08V,0,11100.6,9698.3,8001.7,9392.0,1.1957720324025365
tt_-40C_1.08V,16,1267.93,1105.72,904.31,1081.4399999999998,1.1953418103990938
tt_-40C_1.08V,255,172.82100000000003,162.78,126.324,146.55,1.2298753270740341
tt_-40C_1.20V,0,10252.9,8654.4,7443.2,8410.7,1.1925961435356598
tt_-40C_1.20V,16,1124.99,955.5799999999999,791.6999999999999,940.3100000000001,1.201245951235847
tt_-40C_1.20V,255,137.119,127.07000000000001,99.139,116.11999999999999,1.2273075690215045
tt_-40C_1.32V,0,9688.7,7838.0,7043.1,7692.499999999999,1.1894120361573335
tt_-40C_1.32V,16,1046.03,867.1500000000001,735.77,855.96,1.2019500794732776
tt_-40C_1.32V,255,114.59500000000001,104.49000000000001,81.78200000000001,96.73,1.2272844402617193
tt_27C_1.08V,0,14699.8,12482.099999999999,10487.0,12134.8,1.2015798919626202
tt_27C_1.08V,16,1590.0,1384.77,1108.02,1357.22,1.2066857587902193
tt_27C_1.08V,255,196.509,181.66,141.448,167.85,1.2226687531118856
tt_27C_1.20V,0,13889.5,11058.800000000001,9817.699999999999,10878.3,1.2054648241206032
tt_27C_1.20V,16,1449.79,1227.2,1011.1400000000001,1208.05,1.2062914847309152
tt_27C_1.20V,255,160.272,145.77,113.683,136.5,1.2232725644827986
tt_27C_1.32V,0,13552.699999999999,9936.3,9500.5,9920.5,1.2094639822872149
tt_27C_1.32V,16,1359.9099999999999,1118.37,953.0999999999999,1105.46,1.2038900979325353
tt_27C_1.32V,255,136.87800000000001,122.52000000000001,95.601,116.14,1.2250721400201192
tt_125C_1.08V,0,23923.300000000003,15662.4,16949.7,16118.5,1.1970926751380482
tt_125C_1.08V,16,2342.41,1979.3799999999999,1601.8899999999999,1948.6899999999998,1.217206766218477
tt_125C_1.08V,255,231.84,217.10999999999999,160.049,206.73,1.2240340913738246
tt_125C_1.20V,0,22639.9,13733.8,16318.300000000001,14527.599999999999,1.1792069610547915
tt_125C_1.20V,16,2207.9700000000003,1772.87,1508.69,1760.29,1.2177621153999107
tt_125C_1.20V,255,198.41,182.33,134.703,175.75,1.2264014198606554
tt_125C_1.32V,0,21551.4,12089.599999999999,15718.199999999999,13191.099999999999,1.1636739734272363
tt_125C_1.32V,16,2123.74,1615.54,1454.78,1618.99,1.216512621308686
tt_125C_1.32V,255,175.637,158.33,117.539,154.42,1.228004956629492
ss_-40C_1.08V,0,13252.3,11719.099999999999,9480.699999999999,11611.300000000001,1.1839275554712687
ss_-40C_1.08V,16,1644.3600000000001,1446.8100000000002,1201.38,1429.16,1.1751085328487687
ss_-40C_1.08V,255,222.437,206.21,163.799,185.73,1.2263560391269395
ss_-40C_1.20V,0,11850.9,10266.1,8453.699999999999,10078.6,1.1934298495059976
ss_-40C_1.20V,16,1342.26,1148.87,955.8,1142.71,1.1870946528727524
ss_-40C_1.20V,255,169.202,154.72,123.657,141.66,1.2208867128755414
ss_-40C_1.32V,0,10955.1,9254.9,7860.6,9061.8,1.1942750437290217
ss_-40C_1.32V,16,1194.1399999999999,996.3100000000001,835.3900000000001,992.6099999999999,1.198276805251641
ss_-40C_1.32V,255,136.602,123.13,98.768,114.31,1.2189526839936549
ss_27C_1.08V,0,16718.4,14833.4,11735.0,14458.6,1.2045614195834098
ss_27C_1.08V,16,1909.6599999999999,1674.07,1350.01,1657.5900000000001,1.1915580529325704
ss_27C_1.08V,255,251.674,229.09,183.694,211.49,1.2165573505000205
ss_27C_1.20V,0,15152.1,13050.699999999999,10721.199999999999,12734.0,1.2024114055731778
ss_27C_1.20V,16,1653.77,1415.2800000000002,1147.79,1405.1000000000001,1.2021865415274453
ss_27C_1.20V,255,196.399,176.23,141.696,165.06,1.2147407059682616
ss_27C_1.32V,0,14044.4,11680.8,9990.7,11469.599999999999,1.1987344072543253
ss_27C_1.32V,16,1508.01,1262.17,1043.35,1254.24,1.2056894398043168
ss_27C_1.32V,255,161.81900000000002,143.12,115.1,135.69,1.2159137126679693
ss_125C_1.08V,0,25594.1,20277.899999999998,17341.1,20090.0,1.225504994509913
ss_125C_1.08V,16,2598.77,2288.09,1765.01,2252.8399999999997,1.216287317844121
ss_125C_1.08V,255,287.024,263.13,203.295,250.18,1.2131958762886597
ss_125C_1.20V,0,24181.899999999998,17714.7,16400.9,17820.0,1.224298601147252
ss_125C_1.20V,16,2357.98,2014.1399999999999,1608.27,1991.84,1.2144406698684207
ss_125C_1.20V,255,235.47700000000003,212.75,163.864,204.61,1.2164413228613145
ss_125C_1.32V,0,23028.7,15658.2,15911.599999999999,16041.6,1.2107363268780593
ss_125C_1.32V,16,2193.4399999999996,1814.4299999999998,1503.1200000000001,1803.5800000000002,1.2120452414794203
ss_125C_1.32V,255,201.762,179.65,137.982,174.58999999999997,1.22023725733591
ff_-40C_1.08V,0,9467.2,7919.0,6943.599999999999,7679.599999999999,1.1889463318562286
ff_-40C_1.08V,16,1060.38,908.34,751.42,885.3000000000001,1.2028447138178797
ff_-40C_1.08V,255,137.43300000000002,129.78,99.247,117.00000000000001,1.2356841944628134
ff_-40C_1.20V,0,9161.800000000001,7127.7,6639.7,7011.8,1.193238838222906
ff_-40C_1.20V,16,987.1,820.08,700.6700000000001,804.67,1.2005128409528742
ff_-40C_1.20V,255,113.63,105.41,80.953,96.42,1.2349117396672549
ff_-40C_1.32V,0,9125.6,6498.700000000001,6585.8,6501.6,1.1938429328972904
ff_-40C_1.32V,16,944.78,760.93,673.07,750.6800000000001,1.1980403863037752
ff_-40C_1.32V,255,98.166,89.56,68.959,83.06,1.2348851130450798
ff_27C_1.08V,0,13641.8,10144.0,9720.800000000001,10056.4,1.202687943692737
ff_27C_1.08V,16,1389.08,1181.1,976.98,1156.01,1.204965799183306
ff_27C_1.08V,255,158.407,147.96,111.939,136.98,1.2307899356818885
ff_27C_1.20V,0,13182.199999999999,9031.5,9573.2,9137.2,1.1872381135625105
ff_27C_1.20V,16,1312.28,1070.65,925.25,1055.58,1.2029957139179033
ff_27C_1.20V,255,134.608,123.43999999999998,93.64999999999999,115.92999999999999,1.2312625250501004
ff_27C_1.32V,0,12771.400000000001,8107.900000000001,9423.6,8409.8,1.170797492345823
ff_27C_1.32V,16,1273.9499999999998,990.3100000000001,896.46,983.85,1.2041950529433976
ff_27C_1.32V,255,118.758,106.97000000000001,81.423,101.83,1.2317833814453243
ff_125C_1.08V,0,18217.3,9898.1,13392.0,10839.1,1.1603022561914236
ff_125C_1.08V,16,2177.63,1676.98,1508.3,1668.9299999999998,1.2131982890757045
ff_125C_1.08V,255,194.767,185.63,131.266,177.49,1.2320311184236097
ff_125C_1.20V,0,17824.1,8878.9,13204.800000000001,10071.4,1.147223344016635
ff_125C_1.20V,16,2092.0,1526.82,1472.54,1537.86,1.2021060324209407
ff_125C_1.20V,255,172.554,160.35,114.771,155.39,1.2322429958432195
ff_125C_1.32V,0,17418.399999999998,7963.200000000001,12976.0,9321.4,1.1383210598545122
ff_125C_1.32V,16,2020.55,1408.8,1443.02,1437.0,1.1907382587620918
ff_125C_1.32V,255,156.83599999999998,142.20999999999998,103.243,139.5,1.2319448964542745
sf_-40C_1.08V,0,11060.6,11712.1,7902.9,11306.099999999999,1.1855224113696705
sf_-40C_1.08V,16,1257.56,1335.1799999999998,890.15,1301.02,1.183267386829867
sf_-40C_1.08V,255,162.492,177.12,118.252,160.5,1.2183302720697966
sf_-40C_1.20V,0,10273.199999999999,10197.199999999999,7396.2,9875.9,1.1851714614899171
sf_-40C_1.20V,16,1123.18,1135.58,785.13,1112.9199999999998,1.190042411949106
sf_-40C_1.20V,255,129.39600000000002,137.92,93.01899999999999,126.73000000000002,1.2164605982279784
sf_-40C_1.32V,0,9742.199999999999,9089.5,7025.400000000001,8876.2,1.1842644765306631
sf_-40C_1.32V,16,1052.75,1010.52,735.99,993.39,1.1930691924273438
sf_-40C_1.32V,255,108.557,113.22,76.929,105.31,1.2169568533628914
sf_27C_1.08V,0,14770.4,15034.1,10407.800000000001,14555.4,1.19393747596462
sf_27C_1.08V,16,1569.07,1667.96,1083.72,1627.0500000000002,1.1941367213005896
sf_27C_1.08V,255,183.07500000000002,199.97,130.79,185.41,1.2114010120177103
sf_27C_1.20V,0,14050.599999999999,13062.699999999999,9804.1,12775.6,1.2007821184515293
sf_27C_1.20V,16,1444.6499999999999,1446.18,999.13,1417.2800000000002,1.196332576011521
sf_27C_1.20V,255,149.99699999999999,159.99,105.449,150.17999999999998,1.2126441053245134
sf_27C_1.32V,0,13733.1,11576.6,9533.1,11469.699999999999,1.2050631344392178
sf_27C_1.32V,16,1366.1000000000001,1295.54,950.2299999999999,1275.1799999999998,1.1960223060020403
sf_27C_1.32V,255,128.71699999999998,134.07999999999998,88.986,127.31,1.2149877945038279
sf_125C_1.08V,0,25705.9,19766.5,17956.600000000002,20109.0,1.19457988314909
sf_125C_1.08V,16,2351.59,2367.6099999999997,1584.35,2319.92,1.2087278799878083
sf_125C_1.08V,255,214.266,243.78,145.823,232.01000000000002,1.2122974965130096
sf_125C_1.20V,0,24084.9,16971.899999999998,17188.0,17711.100000000002,1.1764429455200849
sf_125C_1.20V,16,2239.67,2080.6499999999996,1507.6399999999999,2056.32,1.2122246040920772
sf_125C_1.20V,255,184.748,203.34,123.51299999999999,195.73000000000002,1.2156507738619171
sf_125C_1.32V,0,22729.600000000002,14719.9,16479.2,15817.600000000002,1.1595421218201183
sf_125C_1.32V,16,2167.11,1867.58,1466.04,1862.82,1.2120335490227887
sf_125C_1.32V,255,164.768,175.42,108.50399999999999,170.69,1.218464580184388
fs_-40C_1.08V,0,11001.9,7761.000000000001,7999.799999999999,7579.1,1.204378999801013
fs_-40C_1.08V,16,1289.05,913.1800000000001,926.77,903.7,1.203095379875114
fs_-40C_1.08V,255,184.87400000000002,149.37,135.649,134.09,1.2391385746962804
fs_-40C_1.20V,0,10124.0,7161.0,7402.3,7010.8,1.1992562321776716
fs_-40C_1.20V,16,1133.34,793.6500000000001,804.42,788.61,1.2096382365680496
fs_-40C_1.20V,255,145.86100000000002,116.68,105.95100000000001,106.4,1.2363539611303929
fs_-40C_1.32V,0,9548.099999999999,6619.8,6994.0,6548.5,1.1938637622300166
fs_-40C_1.32V,16,1043.76,733.15,739.4100000000001,730.11,1.209177146279057
fs_-40C_1.32V,255,121.33399999999999,96.03,87.065,88.78999999999999,1.236041056552273
fs_27C_1.08V,0,14419.0,10105.4,10400.6,9897.1,1.2082354158352917
fs_27C_1.08V,16,1616.43,1132.28,1138.8500000000001,1121.55,1.2160281366129888
fs_27C_1.08V,255,211.96900000000002,165.12,153.576,152.5,1.2320110038029772
fs_27C_1.20V,0,13521.6,9166.9,9700.1,9089.699999999999,1.207490234063162
fs_27C_1.20V,16,1457.01,1025.2199999999998,1025.31,1018.93,1.2142556646969045
fs_27C_1.20V,255,171.807,132.60000000000002,122.79899999999999,124.24000000000001,1.2322224426102764
fs_27C_1.32V,0,13159.099999999999,8370.2,9335.199999999999,8437.699999999999,1.2113554906627506
fs_27C_1.32V,16,1355.23,953.86,956.8799999999999,950.8000000000001,1.2104178897928375
fs_27C_1.32V,255,145.893,111.64999999999999,102.795,105.98,1.2335911866842295
fs_125C_1.08V,0,21082.899999999998,11793.3,15050.599999999999,12254.5,1.2040314812983655
fs_125C_1.08V,16,2316.33,1624.86,1605.97,1613.85,1.2240404743122286
fs_125C_1.08V,255,251.36599999999999,193.16,175.751,184.41000000000003,1.2342424637870282
fs_125C_1.20V,0,20321.3,10646.699999999999,14711.0,11393.2,1.1863225074892163
fs_125C_1.20V,16,2160.36,1488.1200000000001,1498.13,1489.07,1.2213711837171937
fs_125C_1.20V,255,213.28300000000002,163.01,146.80100000000002,157.67000000000002,1.2358911029293431
fs_125C_1.32V,0,19634.5,9567.800000000001,14350.6,10589.6,1.1708927755190417
fs_125C_1.32V,16,2064.54,1379.8999999999999,1432.07,1392.6299999999999,1.2194002902963146
fs_125C_1.32V,255,187.317,142.4,127.14600000000002,139.44,1.236812885897984
