PVT,code,VDD,min V(out) with enable=0,as fraction of VDD,"supply current uA (enable=0, whole NAND+bias, min over b)"
tt_-40C_1.08V,0,1.08,1.08,1.0,5.817679999999999
tt_-40C_1.08V,16,1.08,1.08,1.0,51.344500000000004
tt_-40C_1.08V,255,1.08,1.08,1.0,571.1460000000001
tt_-40C_1.20V,0,1.2,1.2,1.0,7.28653
tt_-40C_1.20V,16,1.2,1.2,1.0,64.58409999999999
tt_-40C_1.20V,255,1.2,1.2,1.0,740.053
tt_-40C_1.32V,0,1.32,1.32,1.0,8.80238
tt_-40C_1.32V,16,1.32,1.32,1.0,78.2263
tt_-40C_1.32V,255,1.32,1.32,1.0,918.6529999999999
tt_27C_1.08V,0,1.08,1.07999,0.9999907407407407,4.6425
tt_27C_1.08V,16,1.08,1.08,1.0,40.713100000000004
tt_27C_1.08V,255,1.08,1.08,1.0,452.42699999999996
tt_27C_1.20V,0,1.2,1.19999,0.9999916666666666,5.79308
tt_27C_1.20V,16,1.2,1.2,1.0,51.055299999999995
tt_27C_1.20V,255,1.2,1.2,1.0,581.686
tt_27C_1.32V,0,1.32,1.31999,0.9999924242424242,6.99939
tt_27C_1.32V,16,1.32,1.32,1.0,61.8917
tt_27C_1.32V,255,1.32,1.32,1.0,719.8639999999999
tt_125C_1.08V,0,1.08,1.07963,0.9996574074074074,3.6562900000000003
tt_125C_1.08V,16,1.08,1.07993,0.9999351851851852,30.0452
tt_125C_1.08V,255,1.08,1.07998,0.9999814814814814,340.466
tt_125C_1.20V,0,1.2,1.19967,0.9997250000000001,4.4642800000000005
tt_125C_1.20V,16,1.2,1.19993,0.9999416666666666,37.2519
tt_125C_1.20V,255,1.2,1.19998,0.9999833333333334,430.831
tt_125C_1.32V,0,1.32,1.31969,0.9997651515151514,5.32524
tt_125C_1.32V,16,1.32,1.31994,0.9999545454545453,44.9316
tt_125C_1.32V,255,1.32,1.31998,0.9999848484848484,528.289
ss_-40C_1.08V,0,1.08,1.08,1.0,4.726970000000001
ss_-40C_1.08V,16,1.08,1.08,1.0,41.8852
ss_-40C_1.08V,255,1.08,1.08,1.0,477.317
ss_-40C_1.20V,0,1.2,1.2,1.0,6.06631
ss_-40C_1.20V,16,1.2,1.2,1.0,53.9429
ss_-40C_1.20V,255,1.2,1.2,1.0,633.149
ss_-40C_1.32V,0,1.32,1.32,1.0,7.46363
ss_-40C_1.32V,16,1.32,1.32,1.0,66.5085
ss_-40C_1.32V,255,1.32,1.32,1.0,799.7180000000001
ss_27C_1.08V,0,1.08,1.08,1.0,3.8152600000000003
ss_27C_1.08V,16,1.08,1.08,1.0,33.6379
ss_27C_1.08V,255,1.08,1.08,1.0,380.549
ss_27C_1.20V,0,1.2,1.2,1.0,4.86568
ss_27C_1.20V,16,1.2,1.2,1.0,43.0759
ss_27C_1.20V,255,1.2,1.2,1.0,499.77099999999996
ss_27C_1.32V,0,1.32,1.32,1.0,5.9783
ss_27C_1.32V,16,1.32,1.32,1.0,53.069100000000006
ss_27C_1.32V,255,1.32,1.32,1.0,628.5970000000001
