PVT,corner,temp,vdd,code,f_hz,edges,idd_run_A,idd_dis_A,vbp,vbn,clk_dis_V,clk_hold_min_V,tstart_s,vmax,vmin
tt_-40C_1.08V,mos_tt,-40,1.08,0,4773269.689737463,12,6.2534e-06,5.81789e-06,0.691371,0.307649,1.08,1.08,1.0610521052631586e-07,1.09857,-0.0109469
tt_-40C_1.08V,mos_tt,-40,1.08,1,7159733.657907962,12,9.26612e-06,8.71132e-06,0.678292,0.319791,1.08,1.08,7.141841379310342e-08,1.09817,-0.0177011
tt_-40C_1.08V,mos_tt,-40,1.08,2,9557488.292076861,12,1.23324e-05,1.15974e-05,0.668289,0.32892,1.08,1.08,5.429674358974356e-08,1.09244,-0.0224969
tt_-40C_1.08V,mos_tt,-40,1.08,4,14263300.52774207,12,1.83413e-05,1.73493e-05,0.652885,0.342702,1.08,1.08,3.7060773109243706e-08,1.10044,-0.0211278
tt_-40C_1.08V,mos_tt,-40,1.08,8,23463162.8343501,12,3.03256e-05,2.87779e-05,0.630691,0.361998,1.08,1.08,2.3075099009900983e-08,1.10008,-0.0217723
tt_-40C_1.08V,mos_tt,-40,1.08,16,40983606.557376996,12,5.39225e-05,5.13448e-05,0.600082,0.387674,1.08,1.08,1.3608357994579949e-08,1.09721,-0.0184933
tt_-40C_1.08V,mos_tt,-40,1.08,32,72653298.45974985,12,9.97305e-05,9.53118e-05,0.558939,0.420854,1.08,1.08,7.941219708029198e-09,1.09105,-0.0185665
tt_-40C_1.08V,mos_tt,-40,1.08,64,125486259.25461146,12,0.000186157,0.000178598,0.504816,0.462788,1.08,1.08,4.7242841269841265e-09,1.09221,-0.00911091
tt_-40C_1.08V,mos_tt,-40,1.08,128,204708290.68577248,12,0.00034043,0.000328162,0.435814,0.514142,1.08,1.08,2.9639407407407415e-09,1.09804,-0.0135375
tt_-40C_1.08V,mos_tt,-40,1.08,255,302819247.19135255,12,0.000589737,0.000571148,0.35307,0.573165,1.08,1.08,2.0353136144578312e-09,1.10459,-0.0180578
tt_-40C_1.20V,mos_tt,-40,1.2,0,5191568.892119193,12,8.02011e-06,7.28678e-06,0.80422,0.314667,1.2,1.2,9.571721052631584e-08,1.21983,-0.0151339
tt_-40C_1.20V,mos_tt,-40,1.2,1,7797878.976918269,12,1.18094e-05,1.09146e-05,0.79048,0.327344,1.2,1.2,6.348741379310345e-08,1.21579,-0.0196983
tt_-40C_1.20V,mos_tt,-40,1.2,2,10486577.181208039,12,1.56841e-05,1.4535e-05,0.779879,0.336943,1.2,1.2,4.833874358974358e-08,1.2276,-0.0118997
tt_-40C_1.20V,mos_tt,-40,1.2,4,15782828.282828322,12,2.31986e-05,2.17561e-05,0.763415,0.35154,1.2,1.2,3.260877310924369e-08,1.23108,-0.0258738
tt_-40C_1.20V,mos_tt,-40,1.2,8,26288117.77076766,12,3.83041e-05,3.61254e-05,0.739444,0.372168,1.2,1.2,2.003509900990099e-08,1.23003,-0.0341158
