sample,f0,f15,f16,f127,f128,f255
0,4041383.769802784,35612535.612535514,37079609.92250375,217155266.01520178,218627022.29995635,334817691.7668334
1,3893777.7431664276,34202065.80477453,36537688.62581748,213629566.3319809,214961306.964746,330720640.2751598
2,3834649.896464459,35401989.591815025,37674716.4977582,218531468.5314685,219635405.22732258,336066675.6284442
3,3188470.490705606,31003906.49221803,33042558.815754794,205592105.2631575,207082211.63802046,324591015.3206957
4,4423017.382458305,37439161.36278554,39654215.24308024,222617987.53339213,223964165.73348227,339385711.8615315
5,4028684.231729915,36793112.32937197,38975718.127606496,221729490.0221727,223114680.94600624,339523987.36970687
6,3674984.381316377,33505327.347048163,35799949.88007011,212044105.17387614,212992545.26091573,328850011.5097516
7,3699593.0447650556,33811198.26886656,36205648.08110054,214868929.9527284,215053763.44085997,333177850.33651
8,3942595.805078066,35748757.730668746,38227761.000038244,221287895.55211383,222419928.825622,340008840.2298454
9,4751948.29880251,38922621.82780646,41488611.37617708,228310502.28310415,229515721.82694563,346044708.9764001
10,3702195.4018733106,32931568.201277662,35097571.248069614,210039907.5824407,211193241.81626207,327739905.6109069
11,3521002.7815921973,31744016.252936333,33788349.776996896,205803663.30520666,206953642.38410598,323289796.9740078
12,3717472.1189591154,34146008.33162601,35837155.963302776,212720697.72388867,213949507.91613153,329380764.1633727
13,3739436.0930371718,34510128.722780064,36557724.64721789,216590859.86571392,217202432.6672456,334918614.77661073
14,3650700.9345794315,33698399.326032065,35783296.35726046,213174163.29140913,215053763.44085997,331400165.70008206
15,3535317.825072463,32791185.729276016,35092644.58169565,212134068.73143834,213903743.3155077,331785003.3178497
16,3451489.3176405574,31390275.29271427,33990482.66485383,203707476.06437233,205170291.34181392,318664159.84194225
17,3522118.9067343064,32095516.256378993,33919001.42459803,204290091.9305417,205549845.83761516,319121776.87005377
18,4001440.5185866677,35630300.00712605,37858711.28946765,220167327.16864872,221631205.6737585,339431791.18156236
19,3705899.7924696147,33755274.26160331,35762820.97131822,210881484.60565147,212449543.2334813,326818746.3232886
20,4368719.965050232,37450378.248820245,39424403.70589396,225733634.31151137,227842333.10549098,345805380.73172426
21,4145249.5440225545,37196845.70748387,39405761.122276075,225682690.1376667,226193168.96629736,344898944.6092295
22,3266372.693124281,30695561.421818465,32633880.494729523,197784810.12658218,199560965.87507415,310732707.7248157
23,3697951.3349604243,33142213.23699992,35453449.620648146,209731543.62416077,210570646.45188525,325330210.16331637
24,4004164.3309041173,35443396.89515848,37774336.11604279,221582096.1666306,222717149.22049084,342079157.11695737
25,3622794.623772779,33544664.721076112,36162441.68806272,214041095.89041078,215285252.96017224,331751982.2180931
26,3802715.138608987,34272397.01144698,36102386.36773885,214362272.24008593,215749730.31283644,332049408.95205146
27,3509141.3131206864,31616554.427898448,34143676.59109537,206654267.4106217,207555002.07554957,323509430.2998929
28,4144218.8147534095,36222697.14202914,38936261.34018615,222074172.77370656,223264121.45568225,340738721.5483173
29,3741114.852225964,33957010.424802125,35545444.85124237,210703750.526759,211550666.38459912,326338804.9472967
