PVT,corner,temp,vdd,code,f_hz,edges,idd_run_A,idd_dis_A,vbp,vbn,clk_dis_V,clk_hold_min_V,tstart_s,vmax,vmin
tt_-40C_1.08V,mos_tt,-40,1.08,0,2334812.0476301624,12,6.20667e-06,5.81789e-06,0.691371,0.307649,1.08,1.08,2.059384210526316e-07,1.09232,-0.0106569
tt_-40C_1.08V,mos_tt,-40,1.08,1,3495647.918341663,12,9.19362e-06,8.71132e-06,0.678292,0.319791,1.08,1.08,1.3928882758620684e-07,1.09647,-0.0133882
tt_-40C_1.08V,mos_tt,-40,1.08,2,4652461.151949388,12,1.21898e-05,1.15974e-05,0.668289,0.32892,1.08,1.08,1.0568348717948716e-07,1.09957,-0.0125884
tt_-40C_1.08V,mos_tt,-40,1.08,4,6933851.060879215,12,1.81737e-05,1.73493e-05,0.652885,0.342702,1.08,1.08,7.20845462184874e-08,1.10046,-0.0190195
tt_-40C_1.08V,mos_tt,-40,1.08,8,11409013.1203651,12,2.99958e-05,2.87779e-05,0.630691,0.361998,1.08,1.08,4.489419801980197e-08,1.09141,-0.0128954
tt_-40C_1.08V,mos_tt,-40,1.08,16,19936204.146730497,12,5.33534e-05,5.13448e-05,0.600082,0.387674,1.08,1.08,2.6590915989159887e-08,1.09945,-0.0191
tt_-40C_1.08V,mos_tt,-40,1.08,32,35331943.61021802,12,9.87091e-05,9.53118e-05,0.558939,0.420854,1.08,1.08,1.5438439416058395e-08,1.08578,-0.00328889
tt_-40C_1.08V,mos_tt,-40,1.08,64,61203256.01322001,12,0.000184294,0.000178598,0.504816,0.462788,1.08,1.08,9.144368253968255e-09,1.09,-0.0170592
tt_-40C_1.08V,mos_tt,-40,1.08,128,100684655.65847778,12,0.00033757,0.000328162,0.435814,0.514142,1.08,1.08,5.6584814814814805e-09,1.09029,-0.0080884
tt_-40C_1.08V,mos_tt,-40,1.08,255,151814179.4443606,12,0.000585201,0.000571148,0.35307,0.573165,1.08,1.08,3.796607228915663e-09,1.09387,-0.010181
tt_-40C_1.20V,mos_tt,-40,1.2,0,2572016.460905347,12,7.99327e-06,7.28678e-06,0.80422,0.314667,1.2,1.2,1.8474842105263177e-07,1.21806,-0.0109553
tt_-40C_1.20V,mos_tt,-40,1.2,1,3873116.6970060864,12,1.17559e-05,1.09146e-05,0.79048,0.327344,1.2,1.2,1.2352082758620685e-07,1.2155,-0.01081
tt_-40C_1.20V,mos_tt,-40,1.2,2,5161556.7255083965,12,1.5534e-05,1.4535e-05,0.779879,0.336943,1.2,1.2,9.33074871794872e-08,1.21926,-0.0140509
tt_-40C_1.20V,mos_tt,-40,1.2,4,7744133.818632351,12,2.30555e-05,2.17561e-05,0.763415,0.35154,1.2,1.2,6.29075462184874e-08,1.2283,-0.0209893
tt_-40C_1.20V,mos_tt,-40,1.2,8,12883277.50579747,12,3.79335e-05,3.61254e-05,0.739444,0.372168,1.2,1.2,3.8773198019801965e-08,1.23144,-0.0218103
tt_-40C_1.20V,mos_tt,-40,1.2,16,22935779.81651382,12,6.74751e-05,6.45845e-05,0.706012,0.399908,1.2,1.2,2.2425915989159902e-08,1.22333,-0.0285694
tt_-40C_1.20V,mos_tt,-40,1.2,32,41872539.98827564,12,0.000125165,0.000120352,0.660538,0.436178,1.2,1.2,1.27721394160584e-08,1.22537,-0.0230674
tt_-40C_1.20V,mos_tt,-40,1.2,64,74671445.63918732,12,0.000234986,0.000226976,0.599925,0.482626,1.2,1.2,7.416068253968258e-09,1.21814,-0.0096128
tt_-40C_1.20V,mos_tt,-40,1.2,128,125360411.18214838,12,0.000434129,0.000420772,0.521495,0.540365,1.2,1.2,4.531381481481481e-09,1.20882,-0.0156593
tt_-40C_1.20V,mos_tt,-40,1.2,255,191864927.09132743,12,0.000760096,0.000740056,0.425818,0.607913,1.2,1.2,3.013707228915664e-09,1.21244,-0.00900218
tt_-40C_1.32V,mos_tt,-40,1.32,0,2760905.577029268,12,1.00879e-05,8.80268e-06,0.917959,0.320817,1.32,1.32,1.7065842105263162e-07,1.33996,-0.0115967
tt_-40C_1.32V,mos_tt,-40,1.32,1,4158177.0551789836,12,1.4467e-05,1.3188e-05,0.90358,0.334005,1.32,1.32,1.129668275862069e-07,1.32599,-0.0124161
tt_-40C_1.32V,mos_tt,-40,1.32,2,5563901.407667013,12,1.92861e-05,1.75658e-05,0.892407,0.34405,1.32,1.32,8.497648717948721e-08,1.34546,-0.0134122
tt_-40C_1.32V,mos_tt,-40,1.32,4,8356313.194618511,12,2.83905e-05,2.63014e-05,0.874938,0.359413,1.32,1.32,5.7317546218487416e-08,1.35146,-0.0220493
tt_-40C_1.32V,mos_tt,-40,1.32,8,13954786.491766626,12,4.64364e-05,4.37003e-05,0.849301,0.381277,1.32,1.32,3.499819801980197e-08,1.35854,-0.0318522
tt_-40C_1.32V,mos_tt,-40,1.32,16,25106703.48983178,12,8.22734e-05,7.82269e-05,0.813244,0.410915,1.32,1.32,2.0099915989159885e-08,1.35181,-0.0274686
tt_-40C_1.32V,mos_tt,-40,1.32,32,46728971.96261701,12,0.000152725,0.000146165,0.763753,0.45002,1.32,1.32,1.1200339416058388e-08,1.33699,-0.0115482
tt_-40C_1.32V,mos_tt,-40,1.32,64,85873765.56462003,12,0.000288032,0.00027706,0.697053,0.500661,1.32,1.32,6.3614682539682545e-09,1.349,-0.0132023
tt_-40C_1.32V,mos_tt,-40,1.32,128,147972773.0097665,12,0.000535324,0.000517542,0.609572,0.564481,1.32,1.32,3.8137814814814826e-09,1.33051,-0.00543181
tt_-40C_1.32V,mos_tt,-40,1.32,255,230627306.2730617,12,0.00094579,0.000918658,0.501174,0.640394,1.32,1.32,2.5079072289156636e-09,1.33156,-0.0111766
tt_27C_1.08V,mos_tt,27,1.08,0,1794687.72433597,12,5.13539e-06,4.6429e-06,0.743646,0.246826,1.08,1.08,2.6194842105263164e-07,1.09222,-0.00966275
tt_27C_1.08V,mos_tt,27,1.08,1,2713704.20624152,12,7.53928e-06,6.9444e-06,0.728058,0.261253,1.08,1.08,1.749748275862069e-07,1.09012,-0.0135306
tt_27C_1.08V,mos_tt,27,1.08,2,3632137.1494987616,12,9.92164e-06,9.23843e-06,0.716353,0.271969,1.08,1.08,1.3140448717948712e-07,1.0956,-0.0165003
tt_27C_1.08V,mos_tt,27,1.08,4,5465078.150617577,12,1.467e-05,1.38062e-05,0.69868,0.287933,1.08,1.08,8.866654621848741e-08,1.10078,-0.0197598
tt_27C_1.08V,mos_tt,27,1.08,8,9100837.277029498,12,2.4121e-05,2.28674e-05,0.673869,0.309879,1.08,1.08,5.447119801980195e-08,1.09165,-0.0209711
tt_27C_1.08V,mos_tt,27,1.08,16,16186468.1126578,12,4.26114e-05,4.07137e-05,0.640635,0.338461,1.08,1.08,3.160291598915988e-08,1.08893,-0.00115119
tt_27C_1.08V,mos_tt,27,1.08,32,29404845.918607365,12,7.85006e-05,7.53658e-05,0.597176,0.37463,1.08,1.08,1.80498394160584e-08,1.0825,-0.00314523
tt_27C_1.08V,mos_tt,27,1.08,64,52113189.84835055,12,0.000145968,0.000140837,0.54125,0.419597,1.08,1.08,1.0543268253968254e-08,1.08514,-0.013027
tt_27C_1.08V,mos_tt,27,1.08,128,87009484.03375982,12,0.000266985,0.000258648,0.470904,0.474225,1.08,1.08,6.4786814814814815e-09,1.08685,-0.00484947
tt_27C_1.08V,mos_tt,27,1.08,255,133031794.59890912,12,0.000464983,0.000452431,0.386707,0.537255,1.08,1.08,4.306307228915663e-09,1.08982,-0.00721793
tt_27C_1.20V,mos_tt,27,1.2,0,1965022.5977598696,12,6.6833e-06,5.79353e-06,0.855202,0.254942,1.2,1.2,2.372684210526316e-07,1.21649,-0.0110154
tt_27C_1.20V,mos_tt,27,1.2,1,2967271.0008604997,12,9.65675e-06,8.66985e-06,0.839023,0.269864,1.2,1.2,1.5741782758620688e-07,1.21885,-0.013462
tt_27C_1.20V,mos_tt,27,1.2,2,3973931.0125576137,12,1.27139e-05,1.15386e-05,0.826778,0.281022,1.2,1.2,1.189104871794872e-07,1.22136,-0.0166371
tt_27C_1.20V,mos_tt,27,1.2,4,5991970.759182688,12,1.86311e-05,1.72557e-05,0.808134,0.297761,1.2,1.2,7.969854621848741e-08,1.21835,-0.0227311
tt_27C_1.20V,mos_tt,27,1.2,8,10031096.39883637,12,3.05001e-05,2.86154e-05,0.781675,0.320992,1.2,1.2,4.852619801980196e-08,1.22889,-0.0289676
tt_27C_1.20V,mos_tt,27,1.2,16,18040772.14504784,12,5.38255e-05,5.10561e-05,0.745783,0.351597,1.2,1.2,2.775191598915988e-08,1.22616,-0.0262079
tt_27C_1.20V,mos_tt,27,1.2,32,33514310.61063085,12,9.92765e-05,9.48548e-05,0.698226,0.390819,1.2,1.2,1.55053394160584e-08,1.22492,-0.0229462
tt_27C_1.20V,mos_tt,27,1.2,64,61274509.803921655,12,0.000185431,0.000178238,0.636196,0.440241,1.2,1.2,8.827468253968258e-09,1.21225,-0.0203416
tt_27C_1.20V,mos_tt,27,1.2,128,105229927.39135008,12,0.000341279,0.000329709,0.557076,0.501129,1.2,1.2,5.316581481481482e-09,1.20654,-0.010466
tt_27C_1.20V,mos_tt,27,1.2,255,164041994.75065607,12,0.000599307,0.000581692,0.460897,0.572492,1.2,1.2,3.4875072289156646e-09,1.20923,-0.00626665
tt_27C_1.32V,mos_tt,27,1.32,0,2112824.8468202017,12,8.39683e-06,6.99991e-06,0.967761,0.262106,1.32,1.32,2.1712842105263174e-07,1.33644,-0.00790383
tt_27C_1.32V,mos_tt,27,1.32,1,3185727.9388340185,12,1.20948e-05,1.04787e-05,0.950999,0.277514,1.32,1.32,1.451638275862069e-07,1.34336,-0.0154303
tt_27C_1.32V,mos_tt,27,1.32,2,4260395.364689824,12,1.57244e-05,1.39497e-05,0.938225,0.289099,1.32,1.32,1.0963648717948722e-07,1.34594,-0.0183411
tt_27C_1.32V,mos_tt,27,1.32,4,6418073.294397017,12,2.30506e-05,2.0871e-05,0.918642,0.306582,1.32,1.32,7.35935462184874e-08,1.34946,-0.0236378
tt_27C_1.32V,mos_tt,27,1.32,8,10752688.172043035,12,3.7377e-05,3.46384e-05,0.8906,0.331036,1.32,1.32,4.4781198019801975e-08,1.35657,-0.0332217
tt_27C_1.32V,mos_tt,27,1.32,16,19443904.335990656,12,6.58003e-05,6.18927e-05,0.852183,0.363547,1.32,1.32,2.533191598915989e-08,1.35454,-0.0375687
tt_27C_1.32V,mos_tt,27,1.32,32,36635404.45486528,12,0.00012132,0.000115299,0.80074,0.40564,1.32,1.32,1.3941039416058396e-08,1.33854,-0.00558481
tt_27C_1.32V,mos_tt,27,1.32,64,68719076.4156128,12,0.000227404,0.000217627,0.732877,0.459288,1.32,1.32,7.757268253968258e-09,1.34106,-0.0177755
tt_27C_1.32V,mos_tt,27,1.32,128,121462407.38491449,12,0.000420677,0.000405064,0.645242,0.526207,1.32,1.32,4.566081481481481e-09,1.32644,-0.0185797
tt_27C_1.32V,mos_tt,27,1.32,255,193498452.01238352,12,0.000743534,0.000719873,0.537244,0.605746,1.32,1.32,2.9486072289156643e-09,1.32915,-0.00577008
tt_125C_1.08V,mos_tt,125,1.08,0,1273317.629082576,11,4.47252e-06,3.66615e-06,0.841913,0.147521,1.08,1.08,3.5652842105263163e-07,1.08974,-0.0109741
tt_125C_1.08V,mos_tt,125,1.08,1,1884303.7497644625,10,6.25369e-06,5.34903e-06,0.823408,0.164491,1.08,1.08,2.4190482758620684e-07,1.08187,-0.01315
tt_125C_1.08V,mos_tt,125,1.08,2,2500937.8516943795,10,7.99582e-06,7.02648e-06,0.809538,0.177224,1.08,1.08,1.8382348717948714e-07,1.09269,-0.0184511
tt_125C_1.08V,mos_tt,125,1.08,4,3744757.339724392,10,1.15181e-05,1.03667e-05,0.788788,0.196245,1.08,1.08,1.2416054621848737e-07,1.09436,-0.021388
tt_125C_1.08V,mos_tt,125,1.08,8,6257430.698955009,10,1.84724e-05,1.69941e-05,0.760215,0.2223,1.08,1.08,7.562919801980196e-08,1.09275,-0.0184876
tt_125C_1.08V,mos_tt,125,1.08,16,11309658.448314862,10,3.20907e-05,3.00554e-05,0.722978,0.255898,1.08,1.08,4.292791598915988e-08,1.09645,-0.0164876
tt_125C_1.08V,mos_tt,125,1.08,32,21267545.72522328,10,5.85587e-05,5.5469e-05,0.675703,0.297884,1.08,1.08,2.3634639416058395e-08,1.09071,-0.0175174
tt_125C_1.08V,mos_tt,125,1.08,64,39763012.4458228,10,0.000108601,0.000103756,0.616332,0.349569,1.08,1.08,1.3188568253968259e-08,1.08246,-0.00803483
tt_125C_1.08V,mos_tt,125,1.08,128,70209927.68377459,10,0.000199408,0.000191788,0.542668,0.412226,1.08,1.08,7.766781481481482e-09,1.08383,-0.00229198
tt_125C_1.08V,mos_tt,125,1.08,255,112246043.32697284,11,0.00035197,0.000340482,0.454344,0.485307,1.08,1.08,4.995407228915662e-09,1.08565,-0.0037114
tt_125C_1.20V,mos_tt,125,1.2,0,1379405.4762397397,11,5.75938e-06,4.47498e-06,0.95226,0.156591,1.2,1.2,3.2686842105263177e-07,1.20499,-0.0108386
tt_125C_1.20V,mos_tt,125,1.2,1,2044571.6622367608,11,7.97902e-06,6.55932e-06,0.933102,0.174212,1.2,1.2,2.2162482758620692e-07,1.21102,-0.0130914
tt_125C_1.20V,mos_tt,125,1.2,2,2713851.498046025,11,1.01825e-05,8.63795e-06,0.918699,0.187456,1.2,1.2,1.6841948717948714e-07,1.21063,-0.0177126
tt_125C_1.20V,mos_tt,125,1.2,4,4061573.4535559053,10,1.44953e-05,1.27799e-05,0.897051,0.207312,1.2,1.2,1.1341854621848737e-07,1.2198,-0.0245518
tt_125C_1.20V,mos_tt,125,1.2,8,6781040.21156847,11,2.3208e-05,2.10085e-05,0.867,0.234692,1.2,1.2,6.916819801980197e-08,1.22081,-0.0255837
tt_125C_1.20V,mos_tt,125,1.2,16,12274456.855284154,11,4.01807e-05,3.72632e-05,0.827404,0.27034,1.2,1.2,3.9100915989159884e-08,1.22024,-0.0232545
tt_125C_1.20V,mos_tt,125,1.2,32,23286140.089418754,11,7.33261e-05,6.90149e-05,0.776482,0.315407,1.2,1.2,2.1297539416058387e-08,1.21092,-0.0139785
tt_125C_1.20V,mos_tt,125,1.2,64,44427660.66152793,11,0.000136333,0.000129691,0.71166,0.371587,1.2,1.2,1.1645568253968256e-08,1.20545,-0.0155265
tt_125C_1.20V,mos_tt,125,1.2,128,80749354.00516787,12,0.000251581,0.000241094,0.630133,0.440567,1.2,1.2,6.686081481481483e-09,1.20387,-0.00312299
tt_125C_1.20V,mos_tt,125,1.2,255,132502981.3170795,12,0.000446546,0.000430851,0.530978,0.522109,1.2,1.2,4.211407228915663e-09,1.20575,-0.00352973
tt_125C_1.32V,mos_tt,125,1.32,0,1480165.7785672015,12,7.32544e-06,5.33682e-06,1.06357,0.164806,1.32,1.32,3.0399842105263173e-07,1.33476,-0.0123832
tt_125C_1.32V,mos_tt,125,1.32,1,2194426.1575597995,12,9.95343e-06,7.84898e-06,1.0438,0.183027,1.32,1.32,2.053648275862069e-07,1.32926,-0.0155114
tt_125C_1.32V,mos_tt,125,1.32,2,2912140.7146393303,12,1.26358e-05,1.03551e-05,1.02888,0.196755,1.32,1.32,1.5634148717948716e-07,1.33298,-0.0188125
