sample,f0,f15,f16,f127,f128,f255
0,2051702.913418138,17029972.75204363,18102824.04055034,103723680.11617053,104155817.10238509,162153397.1136694
1,1761183.5153223022,16194331.983805701,16989466.530750953,102030405.0607084,102124183.0065361,160926939.16961685
2,1861850.6795754968,16278691.19322808,17409470.752089098,102082482.64597805,102722136.62044169,161004669.13540488
3,1964250.638381458,17550017.550017577,18518518.51851858,106112054.3293719,106496272.63045786,165207335.2056829
4,2236135.957066191,18453589.2231039,19500780.0312012,107434464.9763645,108108108.10810803,166168162.18012643
5,2163565.556036346,17847581.652686074,18835938.97155769,106837606.83760685,107747010.02047175,166917042.2300112
6,1741553.4656913904,15654351.90983093,16619577.862722319,100674519.2791703,101347927.43488404,159667890.78716317
7,2109704.6413502144,17799928.800284844,19051247.856734592,107898144.15192088,108648413.73315941,168208578.63751075
8,1831501.8315018273,16334531.198954629,17433751.743375164,102553584.24776927,103412616.33919331,161917098.44559547
9,1658649.8590147602,14773230.905599067,15549681.231534747,97503900.15600641,98116169.54474081,156298843.38855886
10,1944768.5725398706,17271157.167530254,18181818.181818217,105086170.65994126,105663567.20202832,164311534.66973403
11,2127659.5744680823,18525379.770285323,19372336.30375816,107596298.68732512,107991360.69114512,166389351.08153117
12,1888217.5226586072,16616816.218012644,17937219.730941687,104438642.29764979,104723007.64477953,163773337.70062265
13,1877934.272300462,16580998.176090218,17705382.436260596,104569695.70218532,105596620.90813044,164771791.06936893
14,2052966.5366454492,17611835.15322293,18681113.39435831,105474106.1069507,106168383.05552591,164419598.8161785
15,2115954.295387222,17587055.926837783,18705574.261129834,106723585.91248684,107146683.81013614,166527893.42214802
16,2018570.8518369049,17076502.7322404,18070112.034694627,104580631.6670148,105152471.08307064,163478829.4915808
17,1716148.9617298772,15669069.257286105,16619577.862722319,100220485.06714788,100613743.83740798,158579130.9863621
18,1673360.1070950446,15149219.815179484,16061676.839062003,99058940.06934088,99433230.58566177,157703832.20312276
19,2118644.067796618,17930787.1615564,18570102.1355617,106473594.54855186,106940434.17816289,166002656.04249665
20,2102607.2329688845,17577781.683951493,18656716.417910445,106371662.58908635,107009095.77314092,166195778.62722304
21,1980982.5673534048,17120356.10340695,18325087.04416343,105130361.64844422,105920982.94672161,164663263.62588495
22,1840942.562592041,15959144.589849982,16966406.515100155,100603621.73038234,101142914.93880866,158805780.5304108
23,1820167.4554058912,16414970.453053173,17256255.392579805,103551827.68975852,103993344.42595704,163639338.897071
24,1901502.1867275105,16963528.41391007,18079913.216416568,104876769.79548988,105485232.06751052,164257555.84756914
25,1821493.6247723156,16051364.365971101,16906170.75232457,101864113.27289353,102532554.08592233,161212316.62099004
26,1858390.633711209,16539861.065167038,17292062.943109088,102448519.61889175,103273778.78756589,161603102.77957332
27,2181025.081788445,18621973.929236494,19588638.589618053,108790252.39338562,109998900.01099975,168491996.63016063
28,2038735.983690113,17476406.850751493,18587360.594795533,106213489.11311787,106769165.06512943,165645188.00728795
29,2150537.634408603,18034265.10369708,19083969.465648886,107353730.54213633,108330625.06770651,167308014.05387315
30,1938360.1473153727,16860563.142808948,17711654.26850869,103050288.54080799,103842159.91692612,162022034.99675998
31,1721466.6896195565,15780337.699226733,16509823.344890233,100502512.56281401,101071356.37760264,159311773.14003512
32,1921968.0953296148,17170329.67032968,18076644.97469268,104547830.63251416,104821802.93501028,163505559.18901244
33,2307869.836141252,18814675.446848515,19762845.849802375,110302228.10500824,111445447.45347172,171115674.19575605
34,2058460.2717167502,17510068.289266292,18480872.297172464,104547830.63251416,105042016.80672275,163132137.03099468
35,2059732.2348094718,17259233.69002418,18460402.43677317,104898772.68435977,105507491.03186356,163853842.37260333
36,1648261.084555797,14981273.408239739,15969338.869370872,97856933.16371496,98231827.11198425,156006240.24961025
37,2202158.1149526555,17780938.833570402,18832391.713747583,106055785.34309049,106632544.25250594,165289256.19834697
38,1864628.00671266,16675004.16875102,17479461.632581744,102838338.13245562,103305785.12396675,161655350.79211122
39,2321262.7669452126,18885741.265344642,19845207.38241718,109805644.01010239,110448420.58758564,170241743.27545142
40,1808972.5036179477,15772870.662460541,16650016.650016643,100210441.9280485,100765820.23377694,158579130.9863621
41,2101723.4131988315,18086453.246518336,18946570.670708593,107863229.42508894,108283703.30265276,167869733.08712426
42,2010050.2512562817,17448961.78677371,18539117.538005166,105898549.18987595,106678045.65820368,165617754.22325298
43,1824484.5831052703,15951507.417450951,17094017.09401711,101061141.9909048,101719051.97843552,159438775.5102043
44,2122691.572914442,17796760.989499867,18910741.301059064,107944732.29706363,108283703.30265339,168236877.5235527
45,2011667.6725005,17349063.15058989,18559762.435040794,106371662.58908635,106849022.3314457,166168162.18012643
46,2010454.3626859684,17633574.325515755,18535681.186283622,105618926.91170269,106157112.52653942,164419598.81617922
47,1877581.6748028516,16194331.983805645,17292062.943109088,102438024.99487805,102880658.43621388,161603102.77957332
48,2030456.852791882,17442874.585731715,18532246.108228322,105462982.49314485,105719420.65757473,164663263.62588495
49,1923076.9230769165,17091095.539224062,18037518.037518047,105008925.75868921,105820105.82010558,164500740.25333086
50,1834862.3853210986,16570008.285004148,17562346.329469655,103971719.69224371,104799832.32026865,163773337.70062193
51,1788588.8034340923,16567263.088137828,17193947.73039887,102944204.24130118,103788271.92527251,162495937.60156024
52,1848770.5675725637,16380016.380016372,17599436.818021838,103476821.19205299,103993344.42595676,162946064.85253388
53,2239140.1701746522,18395879.323031563,19554165.03715297,108436347.86380392,108802089.00010857,167728950.0167726
54,1707941.9299743816,15302218.821729116,16241676.140977751,99098206.32246575,99970008.99730094,157853196.52723008
55,2014098.6908358466,17238407.17117739,18066847.33514001,105196717.86240233,105607772.73207349,164690382.08168635
56,2126754.5725223264,17959770.114942588,19109497.420217812,107921433.19663256,108778418.36179677,167954316.4259321
57,1885725.0612860622,16366612.111292925,17461148.94360046,102522042.23908144,103082156.47871393,161576991.43641937
58,2064409.578860439,17577781.683951493,18549434.242255654,106757766.62752207,107422924.05199276,166694449.07484582
59,2306805.074971164,18968133.53566007,20157226.365652096,110083663.58432436,110448420.58758564,169836956.52173895
60,2072538.8601036232,17761989.342806395,18695083.19312016,106078285.77490163,106134578.6457229,165070980.52162465
61,1710278.7754403977,15429717.636167293,16570008.285004148,99930048.96572408,99810360.31540069,158503724.8375335
62,1842299.1893883648,16388069.485414604,17096939.647803076,102469515.31919225,102785486.68927926,161733786.18793476
63,1949317.738791423,16498927.56970798,17262213.015708648,101183851.05737114,101999184.00652795,159337157.42511162
