sample,f0,f16,f255
0,1971997.6336028373,18079913.216416568,161864681.12657842
1,2004409.7013429562,18402649.981597386,163988192.85011464
2,2060156.5718994695,18789928.598271366,169750466.81378347
3,2005615.724027274,18308311.97363603,164068908.94175547
4,1992825.8270227215,18234865.061998494,162548764.62938914
5,1873711.8231216052,16728002.676480452,148875986.3034094
6,1798884.691491278,16638935.10815306,152928582.3520415
7,2059732.2348094718,18723085.564501084,169176112.33293843
8,1891074.1301059034,17310022.50302928,166500166.5001663
9,1973554.3714229336,18168604.65116281,166223404.25531936
10,2168256.7215958294,19673421.207948066,180277627.54642183
11,1936483.3462432325,17652250.661959425,154249575.8136667
12,2130833.155763908,19267822.736030873,170299727.52043632
13,1941370.607649002,17461148.943600528,150806816.46810433
14,1971220.1852946933,18053800.32496845,169033130.49357718
15,2033760.423022165,18168604.65116281,160384923.8171611
16,2162629.7577854632,19327406.262079664,169692855.93076575
17,1904036.5575019054,17670966.60187307,159923236.84631386
18,2002402.8834601564,18348623.853210986,167532249.95811716
19,2104377.104377104,19153418.885271035,168152009.41651195
20,1956181.5336463244,17565431.231336787,154774802.66212612
21,1805380.0324968353,16714023.065351823,152835090.93687955
22,1998800.719568262,17574692.442882236,148964695.36719823
23,1873711.8231215992,16894745.73407672,149857635.2465159
24,2049180.327868855,18695083.193120234,172741406.1150458
25,1846381.0930576127,17238407.17117739,163612565.4450256
26,1919017.4630589108,17708517.797060445,165782493.36869997
27,2132650.8850501254,19297568.506368198,170998632.0109435
28,1607717.041800647,14952153.110047841,139392249.79091147
29,1906577.6930409982,17409470.752089165,159438775.5102043
30,1944012.4416796279,17476406.850751493,157306905.77316323
31,2173913.0434782575,19512195.121951163,175469380.5930864
