sample,f0,f16,f255
0,3810830.3799397876,36419258.50389678,324991875.20312047
1,3901221.082198729,37332935.11535886,331444101.9522059
2,3991537.9395681163,37993920.972644396,343241573.4193722
3,3889083.3430560413,37136066.5478312,332049408.95205146
4,3897723.729342078,37087861.1430478,329348219.87287253
5,3689628.45441464,34084324.61910768,300715703.37403077
6,3506434.306953254,33748439.13469001,308594352.72334564
7,3975194.7845444423,37721614.4850999,341401795.77344674
8,3624238.909828937,34553056.21782244,336032796.8009684
9,3801992.2439358165,36576444.76956843,334526477.7707151
10,4144734.1153065003,39402655.738996886,363993739.30768466
11,3826872.2972714244,36101083.03249102,313087038.19661784
12,4107957.112927733,38813848.78124516,343689854.2755007
13,3809959.2334362017,35493717.61198265,303021120.5721037
14,3794634.3869768074,36316095.29343406,342524404.86384636
15,3951163.617685403,36817495.67394424,324601551.5954156
16,4193399.5890468266,39117508.99702711,343076711.95279276
17,3733572.281959372,36051625.92832943,324960192.3764341
18,3871017.6905508568,37228695.87878323,340645864.5592044
19,4112180.277983388,38963569.06292631,340785169.0294438
20,3848670.284416734,35835871.70757927,313597591.5704962
21,3541829.000495855,34057625.50234998,309683812.82710344
22,3952569.169960475,35954409.80836298,301014418.59065044
23,3693853.427895988,34469683.91299846,303444090.42633855
24,3935768.2619647337,37592571.70783066,349088878.0283463
25,3551262.4738094485,34669255.30439607,329956775.66238755
26,3710437.4605766195,35733428.62247633,335919916.69186115
27,4099704.8212528834,38749176.57999765,343938091.14359397
28,3178437.480134765,30555810.187307093,281848928.9740699
29,3711676.9356395216,35260930.88857536,322455823.55217266
30,3796218.9659099597,35408257.20558035,317168321.2280761
31,4161811.2202430437,39237228.28219407,355164085.8076438
